EventCode,EventType,RecordNumber,"_time",action,"anonymized_ComputerName",dest,source,sourcetype,src,user
4624,0,240841870,"1471798745.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",chuck
4624,0,142220732,"1471820404.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",chuck
4624,0,142314597,"1471865465.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",chuck
4768,0,142316567,"1471866545.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",chuck
4768,0,69444148,"1471899639.000",success,"anon_ComputerName_25","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",chuck
4624,0,142612721,"1471910403.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",chuck
4624,0,121450705,"1471928051.000",success,"anon_ComputerName_11","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,142750650,"1471964039.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",chuck
4624,0,2489912238,"1471967191.000",success,"anon_ComputerName_17","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",chuck
4624,0,143001078,"1471991196.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1004464554,"1471991201.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,121794152,"1471994091.000",success,"anon_ComputerName_11","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4768,0,143222291,"1472039895.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",chuck
4768,0,118947238,"1472039977.000",success,"anon_ComputerName_12","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",chuck
4768,0,122135231,"1472056599.000",success,"anon_ComputerName_11","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",chuck
4648,0,551958303,"1472072235.000",success,"anon_ComputerName_15","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",chuck
4648,0,242028623,"1472085282.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,242107398,"1472103293.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,242107581,"1472103305.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,242109587,"1472103448.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,242111917,"1472103630.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,1005570065,"1472138316.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1005573166,"1472138512.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1005724402,"1472152354.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,143992010,"1472172065.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",chuck
4648,0,242676998,"1472237397.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,242684314,"1472238166.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,2495993044,"1472238499.000",success,"anon_ComputerName_17","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,242690057,"1472238850.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,242690163,"1472238863.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,2496004734,"1472238869.000",success,"anon_ComputerName_17","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
