Recipient,Sender,Subject,"_time","file_name","incoming_address",sourcetype,"unique_message_number"
"address2657@anonymized.com","address211@mycompany.com","Anonymized Subject 183","1483375327.000","","68.232.148.147","Email_Data",76694
"address93@mycompany.com","no-reply@cloudprovider.com","Your Recent Password Reset Request","1483375327.000","","68.235.195.25","Email_Data",38515
"address89@mycompany.com","address986@anonymized.com","Anonymized Subject 923","1483390966.000","","36.91.68.138","Email_Data",45061
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 923",1483390974,"","10.57.195.29","Email_Data",54051
"address1200@mycompany.com","address986@anonymized.com","Anonymized Subject 1539","1483393981.000","","92.149.62.130","Email_Data",73376
"address1351@mycompany.com,address1911@mycompany.com,address89@mycompany.com","address703@anonymized.com","Anonymized Subject 1193","1483396790.000","","233.153.189.101","Email_Data",54625
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 1193",1483396852,"","10.57.195.29","Email_Data",83703
"address1888@mycompany.com","address20@mycompany.com","Anonymized Subject 1565","1483397329.000","","68.232.148.147","Email_Data",84677
"address1438@mycompany.com","address749@anonymized.com","Anonymized Subject 145","1483401606.000","","233.153.189.102","Email_Data",28311
"address2480@mycompany.com","address1711@anonymized.com","Anonymized Subject 770","1483419138.000","","182.239.153.166","Email_Data",34934
"address89@mycompany.com","address2362@anonymized.com","Anonymized Subject 281","1483419868.000","","184.143.37.2","Email_Data",53914
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 281",1483419917,"","10.57.195.29","Email_Data",92721
"address89@mycompany.com","address1935@anonymized.com","Anonymized Subject 437","1483430483.000","","249.182.150.22","Email_Data",19893
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 437",1483430514,"","10.57.195.29","Email_Data",35958
"address1441@mycompany.com,address1910@mycompany.com,address2173@mycompany.com,address2193@mycompany.com,address890@mycompany.com,address89@mycompany.com","address847@anonymized.com","Anonymized Subject 520","1483444236.000","","237.1.83.73","Email_Data",30298
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 520",1483444251,"","10.57.195.29","Email_Data",13114
"address89@mycompany.com","address1027@anonymized.com","Anonymized Subject 1819","1483457084.000","","184.160.160.176","Email_Data",42113
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 1819",1483457140,"","10.57.195.29","Email_Data",61062
"address89@mycompany.com","address20@mycompany.com","Anonymized Subject 729","1483458365.000","","10.57.195.29","Email_Data",34386
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 729",1483458396,"","10.57.195.29","Email_Data",82262
"address694@mycompany.com","address1856@anonymized.com","Anonymized Subject 728","1483465745.000","","233.153.189.102","Email_Data",21970
"address89@mycompany.com","address20@mycompany.com","Anonymized Subject 404","1483471587.000","","10.57.195.29","Email_Data",36637
"address1476@gmail.com","address89@mycompany.com","FW: Anonymized Subject 404",1483471636,"","10.57.195.29","Email_Data",82306
"address131@anonymized.com","address89@mycompany.com","Anonymized Subject 512","1483474928.000","","10.57.195.29","Email_Data",48506
"address1154@mycompany.com,address1911@mycompany.com,address89@mycompany.com","address1199@anonymized.com","Anonymized Subject 1463","1483475814.000","","233.153.189.101","Email_Data",48909
