"Account_Domain","Account_Name","Authentication_Package",EventCode,"Key_Length","Logon_Process","Logon_Type","New_Logon_Security_ID","Subject_Security_ID",Type,"_time"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456894354.000"
SUBSIDIARY1,"nimln_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\nimln_jnkmcac","NULL SID",Information,"1456894436.000"
SUBSIDIARY1,"bfibpk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\bfibpk_jnkmcac","NULL SID",Information,"1456894504.000"
SUBSIDIARY1,"khakjbdel_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\khakjbdel_jnkmcac","NULL SID",Information,"1456894539.000"
SUBSIDIARY1,"nphkfhm_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\nphkfhm_jnkmcac","NULL SID",Information,"1456894751.000"
SUBSIDIARY1,"knmaq_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\knmaq_jnkmcac","NULL SID",Information,"1456894815.000"
SUBSIDIARY1,"ocheimi_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ocheimi_jnkmcac","NULL SID",Information,"1456894835.000"
SUBSIDIARY1,"ofkecmkc_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\ofkecmkc_jnkmcac","NULL SID",Information,"1456894932.000"
SUBSIDIARY1,"domqell_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\domqell_jnkmcac","NULL SID",Information,"1456894991.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456895448.000"
SUBSIDIARY1,"hohpdfhjqeno_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\hohpdfhjqeno_jnkmcac","NULL SID",Information,"1456895656.000"
SUBSIDIARY1,"knmaq_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\knmaq_jnkmcac","NULL SID",Information,"1456895898.000"
SUBSIDIARY1,"ekojhad_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ekojhad_jnkmcac","NULL SID",Information,"1456895954.000"
SUBSIDIARY1,"jbidne_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\jbidne_jnkmcac","NULL SID",Information,"1456896054.000"
SUBSIDIARY1,"kjkbpfi_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kjkbpfi_jnkmcac","NULL SID",Information,"1456896109.000"
SUBSIDIARY1,"fjcbj_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fjcbj_jnkmcac","NULL SID",Information,"1456896225.000"
SUBSIDIARY1,"dlakao_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\dlakao_jnkmcac","NULL SID",Information,"1456896227.000"
SUBSIDIARY1,"inafjq_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\inafjq_jnkmcac","NULL SID",Information,"1456896350.000"
SUBSIDIARY1,"fnqqhqp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fnqqhqp_jnkmcac","NULL SID",Information,"1456896388.000"
SUBSIDIARY1,"ldeakjq_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ldeakjq_jnkmcac","NULL SID",Information,"1456896458.000"
SUBSIDIARY1,"cohcddqkd_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\cohcddqkd_jnkmcac","NULL SID",Information,"1456896618.000"
SUBSIDIARY1,"mlqboci_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mlqboci_jnkmcac","NULL SID",Information,"1456896642.000"
SUBSIDIARY1,"cfbnj_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\cfbnj_jnkmcac","NULL SID",Information,"1456896808.000"
SUBSIDIARY1,"fbqeqmjol-uk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fbqeqmjol-uk_jnkmcac","NULL SID",Information,"1456897089.000"
SUBSIDIARY1,"ihcmknai_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ihcmknai_jnkmcac","NULL SID",Information,"1456897307.000"
SUBSIDIARY1,"ojiipo_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ojiipo_jnkmcac","NULL SID",Information,"1456897315.000"
SUBSIDIARY1,"ncobmcfe_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ncobmcfe_jnkmcac","NULL SID",Information,"1456897549.000"
SUBSIDIARY1,"ncobmcfe_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ncobmcfe_jnkmcac","NULL SID",Information,"1456897651.000"
MYDOMAIN,"fnf_pem",NTLM,4624,128,NtLmSsp,3,"MYDOMAIN\fnf_pem","NULL SID",Information,"1456897707.000"
MYDOMAIN,"fnf_pem",NTLM,4624,128,NtLmSsp,3,"MYDOMAIN\fnf_pem","NULL SID",Information,"1456897768.000"
SUBSIDIARY1,"eqnknh_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\eqnknh_jnkmcac","NULL SID",Information,"1456897998.000"
SUBSIDIARY1,"hfacqajqd_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\hfacqajqd_jnkmcac","NULL SID",Information,"1456898041.000"
SUBSIDIARY1,"ancaaocdp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ancaaocdp_jnkmcac","NULL SID",Information,"1456898045.000"
SUBSIDIARY1,"bomkeqqd_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\bomkeqqd_jnkmcac","NULL SID",Information,"1456898504.000"
MYDOMAIN,hajbdkb,NTLM,4624,128,NtLmSsp,3,"MYDOMAIN\hajbdkb","NULL SID",Information,"1456905830.000"
SUBSIDIARY1,"mikkn_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mikkn_jnkmcac","NULL SID",Information,"1456898644.000"
MYDOMAIN,"fnf_pem",NTLM,4624,128,NtLmSsp,3,"MYDOMAIN\fnf_pem","NULL SID",Information,"1456898845.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456898938.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456898996.000"
SUBSIDIARY1,"afdnjaeocfp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\afdnjaeocfp_jnkmcac","NULL SID",Information,"1456899000.000"
SUBSIDIARY1,"oaklefbfda_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oaklefbfda_jnkmcac","NULL SID",Information,"1456899001.000"
SUBSIDIARY1,"oflil_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oflil_jnkmcac","NULL SID",Information,"1456899047.000"
SUBSIDIARY1,"oaahi_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oaahi_jnkmcac","NULL SID",Information,"1456899066.000"
SUBSIDIARY1,"cfebcac_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\cfebcac_jnkmcac","NULL SID",Information,"1456899137.000"
SUBSIDIARY1,"mdafj_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mdafj_jnkmcac","NULL SID",Information,"1456899182.000"
SUBSIDIARY1,"lfahckb_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\lfahckb_jnkmcac","NULL SID",Information,"1456899206.000"
