"USER_ID","USER_NAME",peergroup
00533000001AlqD,senya,senya|peggy|betty
00533000001zSeC,peggy,senya|peggy|betty
00533000002SDUc,betty,senya|peggy|betty
00533000003CpVU,mark,mark|larry|mary|sharon|greg|ted
00533000004QJen,larry,mark|larry|mary|sharon|greg|ted
00533000005cQ3B,mary,mark|larry|mary|sharon|greg|ted
00533000005dDFJ,sharon,mark|larry|mary|sharon|greg|ted
00533000006Slq3,greg,mark|larry|mary|sharon|greg|ted
00533000006vOPs,ted,mark|larry|mary|sharon|greg|ted
00533000007aBCe,alice,alice|bob|chris|rachel
00540000001924A,stan,stan|ken|megan|lane|pete
00540000002932C,ken,stan|ken|megan|lane|pete
00540000002AJCe,megan,stan|ken|megan|lane|pete
00540000002RBAC,lane,stan|ken|megan|lane|pete
00540000003BHAp,pete,stan|ken|megan|lane|pete
00540000003aFuR,chris,alice|bob|chris|rachel
00540000003bmQ0,bob,alice|bob|chris|rachel
00540000003zoEc,rachel,alice|bob|chris|rachel
0054000000432CD,paul,paul|vernon|sally|roger
005400000051cDa,vernon,paul|vernon|sally|roger
00540000005c912,sally,paul|vernon|sally|roger
00540000005dC1p,roger,paul|vernon|sally|roger
0053300000B0019,user1,"user1|user157|user347|user401|user403|user448|user484|user643|user672|user75"
0053300000B001B,user2,"user113|user171|user2|user251|user304|user306|user314|user478|user539|user552|user591|user628"
0053300000B003K,user3,"user111|user133|user237|user295|user3|user329|user445|user459|user653|user654|user656|user676|user704"
0053300000B019K,user4,"user101|user103|user153|user210|user331|user4|user501|user632|user639|user649|user679|user732|user79"
0053300000B0320,user5,"user16|user167|user185|user247|user288|user370|user5|user607|user617|user96"
0053300000B0327,user6,"user195|user257|user418|user420|user493|user6|user604|user698"
0053300000B0432,user7,"user204|user22|user350|user351|user430|user444|user578|user587|user603|user619|user637|user7|user708|user72"
0053300000B0439,user8,"user363|user384|user394|user395|user396|user446|user584|user62|user661|user692|user707|user737|user750|user8|user9"
0053300000B04K0,user9,"user363|user384|user394|user395|user396|user446|user584|user62|user661|user692|user707|user737|user750|user8|user9"
0053300000B0945,user10,"user10|user138|user252|user265|user274|user34|user379|user389|user581"
0053300000B0B74,user11,"user11|user228|user275|user333|user361|user435|user437|user453|user496|user543|user557|user663|user97"
0053300000B0J71,user12,"user12|user184|user212|user220|user238|user315|user400|user406|user41|user412"
0053300000B0K37,user13,"user13|user232|user38|user388|user427|user438|user560|user566|user569|user573|user688|user752"
0053300000B0K39,user14,"user134|user14|user178|user303|user368|user466|user537|user553|user575|user701"
0053300000B2039,user15,"user15|user391|user452|user505|user589|user595|user60|user616|user625|user630|user82"
0053300000B2331,user16,"user16|user167|user185|user247|user288|user370|user5|user607|user617|user96"
0053300000B2333,user17,"user112|user17|user202|user233|user269|user313|user319|user377|user451|user457|user570"
0053300000B2339,user18,"user158|user161|user18|user525"
0053300000B233B,user19,"user116|user176|user19|user229|user308|user432|user479|user580|user633"
0053300000B239K,user20,"user110|user121|user197|user20|user32|user339|user407|user481|user51|user67|user673|user727|user80"
0053300000B23B1,user21,"user126|user162|user169|user21|user249|user462|user556|user56|user647|user695|user710"
0053300000B23B7,user22,"user204|user22|user350|user351|user430|user444|user578|user587|user603|user619|user637|user7|user708|user72"
0053300000B23JB,user23,"user159|user200|user217|user23|user268|user318|user482|user583|user711|user722"
0053300000B2713,user24,"user106|user130|user142|user24|user408|user45|user533|user620|user720"
0053300000B2771,user25,"user100|user114|user118|user227|user25|user264|user33|user502|user555"
0053300000B27KB,user26,"user143|user168|user170|user173|user242|user26|user28|user326|user397|user44|user474|user541|user73"
0053300000B27KK,user27,"user129|user27|user293|user382|user387|user417|user439|user470|user638|user748|user754|user95"
0053300000B29B3,user28,"user143|user168|user170|user173|user242|user26|user28|user326|user397|user44|user474|user541|user73"
0053300000B2B29,user29,"user140|user209|user218|user29|user297|user428|user520|user572|user66|user700|user728|user94"
0053300000B2B9K,user30,"user117|user30|user371|user381|user521"
0053300000B2BB1,user31,"user128|user196|user273|user31|user491|user50|user545"
0053300000B2BB7,user32,"user110|user121|user197|user20|user32|user339|user407|user481|user51|user67|user673|user727|user80"
0053300000B3020,user33,"user100|user114|user118|user227|user25|user264|user33|user502|user555"
0053300000B3097,user34,"user10|user138|user252|user265|user274|user34|user379|user389|user581"
0053300000B30G3,user35,"user127|user348|user35|user413|user498|user500|user592|user596|user646|user741"
0053300000B30G7,user36,"user123|user145|user250|user253|user36|user402|user458|user471|user485|user523|user574|user664|user665|user674|user714|user755"
0053300000B30KG,user37,"user108|user222|user259|user287|user37|user433|user475|user675|user718|user731|user733"
0053300000B3133,user38,"user13|user232|user38|user388|user427|user438|user560|user566|user569|user573|user688|user752"
0053300000B3137,user39,"user188|user192|user213|user305|user309|user324|user360|user39|user461|user488|user614|user63|user68|user682|user99"
0053300000B3193,user40,"user215|user243|user40|user426|user443|user472|user635|user709|user746"
0053300000B31AJ,user41,"user12|user184|user212|user220|user238|user315|user400|user406|user41|user412"
0053300000B31J2,user42,"user144|user225|user236|user317|user419|user42|user487|user601|user609|user626|user677"
0053300000B31J7,user43,"user270|user365|user414|user43|user513|user528|user53|user564|user57|user588|user605|user670|user706|user81"
0053300000B31J9,user44,"user143|user168|user170|user173|user242|user26|user28|user326|user397|user44|user474|user541|user73"
0053300000B31JB,user45,"user106|user130|user142|user24|user408|user45|user533|user620|user720"
0053300000B3201,user46,"user267|user290|user442|user46|user483|user562|user618|user666|user686|user696|user729|user745|user86"
0053300000B3203,user47,"user132|user284|user343|user374|user47|user476|user577|user598"
0053300000B322B,user48,"user163|user208|user292|user344|user385|user425|user477|user48|user511|user519|user585|user599|user64|user645|user723|user744|user84"
0053300000B3230,user49,"user107|user109|user141|user160|user206|user302|user342|user436|user441|user49|user514|user561|user712|user76"
0053300000B3231,user50,"user128|user196|user273|user31|user491|user50|user545"
