"USER_ID","USER_VIEWED","_time",country
00540000003B00K,"ANON_USER_2972","1484801096.495",EMEA
00540000003B00K,"ANON_USER_2972","1484801098.345",EMEA
005400000033923,"ANON_USER_2212","1484801634.695",USA
0053300000B9KJ3,"ANON_USER_2070","1484802736.241",USA
0053300000B9KJ3,"ANON_USER_2070","1484802822.186",USA
0053300000B9KJ3,"ANON_USER_2070","1484802827.064",USA
0053300000B9KJ3,"ANON_USER_2070","1484802848.287",USA
0053300000B9KJ3,"ANON_USER_2070","1484802850.270",USA
0054000000BA371,"ANON_USER_2379","1484803109.176",USA
0053300000B9KJ3,"ANON_USER_2070","1484804064.151",USA
0054000000337B7,"ANON_USER_2279","1484804791.965",APAC
0054000000335BB,"ANON_USER_934","1484805097.077",EMEA
0053300000B33K0,"ANON_USER_2176","1484805424.975",USA
0053300000B729K,"ANON_USER_1444","1484805509.581",USA
0053300000B729K,"ANON_USER_1444","1484805525.515",USA
0053300000B3341,"ANON_USER_1412","1484807285.650",APAC
0053300000B30KG,"ANON_USER_2275","1484807510.585",APAC
0053300000B2713,"ANON_USER_287","1484807921.384",USA
00540000003J937,"ANON_USER_2176","1484808587.054",USA
0053300000B7BK9,"ANON_USER_475","1484809814.262",USA
0053300000B2039,"ANON_USER_1865","1484810124.262",USA
0053300000B2039,"ANON_USER_1865","1484810168.991",USA
0054000000B2934,"ANON_USER_1115","1484810230.432",USA
0053300000B2771,"ANON_USER_2550","1484810634.834",EMEA
005400000032073,"ANON_USER_3192","1484811116.313",USA
0053300000B397B,"ANON_USER_187","1484812270.887",USA
0053300000B397B,"ANON_USER_187","1484812457.969",USA
0053300000B397B,"ANON_USER_187","1484812512.257",USA
0053300000BBGKJ,"ANON_USER_1370","1484813398.120",USA
005400000003339,"ANON_USER_2658","1484813748.294",USA
005400000003339,"ANON_USER_2658","1484813805.445",USA
005400000003339,"ANON_USER_2658","1484814031.239",USA
0053300000B90BK,"ANON_USER_676","1484814981.921",EMEA
0053300000B3309,"ANON_USER_845","1484815537.179",APAC
0053300000B33K1,"ANON_USER_3086","1484815555.376",EMEA
0053300000B33K1,"ANON_USER_3086","1484815555.758",EMEA
0053300000B33K1,"ANON_USER_2296","1484815742.806",USA
00540000003314B,"ANON_USER_2616","1484815990.711",EMEA
0053300000B33K1,"ANON_USER_2296","1484816094.799",USA
0053300000BBK37,"ANON_USER_2730","1484816500.624",EMEA
005400000033033,"ANON_USER_1970","1484817004.422",EMEA
0054000000BJ921,"ANON_USER_2267","1484817283.287",USA
0053300000BBK37,"ANON_USER_2730","1484817419.117",EMEA
0053300000B3A3K,"ANON_USER_1445","1484817687.468",EMEA
0053300000B9921,"ANON_USER_143","1484817846.728",EMEA
0053300000BB172,"ANON_USER_229","1484818211.804",EMEA
0053300000BB172,"ANON_USER_1729","1484818312.601",EMEA
0053300000BB172,"ANON_USER_1729","1484818375.863",EMEA
0053300000B74J9,"ANON_USER_498","1484818642.906",USA
0053300000B33K0,"ANON_USER_2357","1484819192.185",APAC
0054000000B313B,"ANON_USER_3012","1484819303.507",USA
0053300000B9K3B,"ANON_USER_2605","1484819860.185",USA
0054000000B3333,"ANON_USER_2205","1484820021.214",USA
00540000003027B,"ANON_USER_375","1484820054.949",EMEA
00540000003027B,"ANON_USER_375","1484820058.261",EMEA
0053300000B33K0,"ANON_USER_2916","1484820202.026",USA
0053300000B33K1,"ANON_USER_1328","1484820264.190",USA
005400000032073,"ANON_USER_3192","1484820695.895",USA
005400000032073,"ANON_USER_3192","1484820829.959",USA
005400000032073,"ANON_USER_3192","1484820844.681",USA
005400000032073,"ANON_USER_3192","1484820993.788",USA
0053300000B0945,"ANON_USER_483","1484821013.835",USA
0053300000B375K,"ANON_USER_3143","1484821058.938",USA
0053300000B0945,"ANON_USER_483","1484821117.826",USA
00540000003B733,"ANON_USER_2076","1484821165.978",USA
00540000003B733,"ANON_USER_2076","1484821296.426",USA
0054000000B3033,"ANON_USER_2037","1484821352.394",EMEA
00540000003B733,"ANON_USER_2076","1484822011.772",USA
0054000000B993K,"ANON_USER_802","1484823601.632",USA
0054000000B313B,"ANON_USER_2816","1484824690.396",USA
0053300000B2713,"ANON_USER_335","1484824867.950",USA
0053300000B2713,"ANON_USER_344","1484824880.169",USA
0053300000B2713,"ANON_USER_755","1484824888.518",USA
0053300000B2713,"ANON_USER_287","1484824906.151",USA
0053300000B32KK,"ANON_USER_2815","1484824928.385",USA
0054000000B2B22,"ANON_USER_2956","1484826121.367",USA
0053300000B371B,"ANON_USER_1653","1484826475.933",USA
0053300000B32KK,"ANON_USER_2815","1484826883.230",USA
0054000000B33B3,"ANON_USER_2433","1484827578.402",USA
005400000033033,"ANON_USER_2511","1484829168.542",USA
