badPwdCount,lastLogonTimestamp,logonCount,pwdLastSet,sAMAccountName,whenCreated
0,"2018-03-07T16:37:04.992946Z",378,"2018-02-22T20:21:03.107914Z",user9,"20161117075431.0Z"
0,"2018-03-15T15:34:39.244964Z",26809,"2018-03-07T12:34:38.298405Z",user49,"20161117075221.0Z"
0,"2018-03-12T17:05:05.022760Z",341,"2018-02-22T20:58:01.348967Z",user56,"20161117074553.0Z"
0,"2018-03-09T00:35:32.729276Z",5186,"2018-02-07T00:29:19.015362Z",user61,"20161117075337.0Z"
0,"2018-01-02T15:31:04.019236Z",2357,"2017-12-04T14:37:27.290075Z",user88,"20161117073215.0Z"
0,"2018-03-08T23:29:55.854326Z",636,"2018-01-08T18:56:31.479250Z",user90,"20161117075131.0Z"
0,"2018-03-09T18:34:53.291082Z",134,"2018-01-25T00:03:30.001287Z",user91,"20161117074332.0Z"
0,"2018-03-04T08:59:54.628838Z",50,"2018-01-16T04:42:07.091904Z",user116,"20161117053313.0Z"
0,"2018-03-14T21:33:23.902720Z",990,"2018-02-16T22:08:52.930573Z",user124,"20161117074500.0Z"
0,"2018-03-15T21:25:51.854678Z",808,"2018-02-12T14:51:09.110118Z",user125,"20161117075148.0Z"
0,"2018-03-17T03:52:15.775339Z",498,"2018-03-16T16:58:05.241352Z",user128,"20161117074632.0Z"
0,"2018-03-15T18:16:01.642477Z",776,"2018-02-15T17:57:08.018024Z",user150,"20161117074751.0Z"
0,"2018-03-07T22:04:33.223907Z",508,"2018-02-20T18:54:17.015682Z",user152,"20161117075148.0Z"
,"2017-09-20T15:05:22.005297Z",,"2017-06-30T21:15:46.529103Z",user161,"20161117052854.0Z"
0,"2018-01-11T03:33:42.142241Z",12,"2018-01-11T03:33:40.445294Z",user168,"20161117052835.0Z"
,,,"2015-10-14T07:49:06.093953Z",user170,"20161117004639.0Z"
0,"2018-03-16T12:47:33.068545Z",1058,"2017-12-18T15:03:23.636674Z",user187,"20161117074955.0Z"
0,"2018-03-08T03:43:05.830060Z",322,"2018-02-05T14:28:09.719662Z",user194,"20161117074937.0Z"
