"_time",Permission,"Grantee.URI",bucketName,userIdentityArn
"2018-03-16T11:41:52.000-0400",READ,"http://acs.amazonaws.com/groups/global/AllUsers","project-name-migration","arn:aws:sts::30239402781:assumed-role/okta_adm_role/user1@myorg.local"
"2018-03-16T11:41:52.000-0400",WRITE,"http://acs.amazonaws.com/groups/global/AllUsers","project-name-migration","arn:aws:sts::30239402781:assumed-role/okta_adm_role/user1@myorg.local"
"2018-03-15T07:06:15.000-0400",READ,"http://acs.amazonaws.com/groups/global/AllUsers",mybuckettemp123,"arn:aws:sts::32342356262:assumed-role/okta_adm_role/user2@myorg.local"
"2018-03-15T07:06:15.000-0400",READ,"http://acs.amazonaws.com/groups/global/AllUsers",mybuckettemp123,"arn:aws:sts::32342356262:assumed-role/okta_adm_role/user2@myorg.local"
"2018-03-13T19:00:51.000-0400",READ,"http://acs.amazonaws.com/groups/global/AllUsers","user3-dev","arn:aws:sts::61621361322:assumed-role/okta_adm_role/user3@myorg.local"
"2018-03-13T15:35:06.000-0400",READ,"http://acs.amazonaws.com/groups/global/AllUsers","user3-dev","arn:aws:sts::61621361322:assumed-role/okta_adm_role/user3@myorg.local"
"2018-03-13T12:14:30.000-0400",READ,"http://acs.amazonaws.com/groups/global/AllUsers","business-unit-name","arn:aws:iam::32561621361322:user/user4"
"2018-03-12T16:31:23.000-0400",READ,"http://acs.amazonaws.com/groups/global/AllUsers",myorg-customer-poc,"arn:aws:iam::33236221361322:user/user5"
"2018-03-10T17:44:44.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","user6-myorg","arn:aws:sts::0937206971309:assumed-role/okta_adm_role/user6@myorg.local"
"2018-03-10T17:44:44.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","user6-myorg","arn:aws:sts::0937206971309:assumed-role/okta_adm_role/user6@myorg.local"
"2018-03-09T11:22:21.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers",testingproduct,"arn:aws:iam::32562762001:user/user7"
"2018-03-06T12:45:55.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","otherproduct-customer-cli","arn:aws:sts::23875729081:assumed-role/okta_adm_role/user8@myorg.local"
"2018-03-05T20:15:03.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","project-awscert","arn:aws:sts::325893271821:assumed-role/okta_adm_role/user9@myorg.local"
"2018-02-28T19:22:31.000-0500","WRITE_ACP","http://acs.amazonaws.com/groups/global/AllUsers","integration-partner","arn:aws:sts::2079230175092173:assumed-role/Admin/user10@myorg.local"
"2018-02-28T19:22:31.000-0500","READ_ACP","http://acs.amazonaws.com/groups/global/AllUsers","integration-partner","arn:aws:sts::2079230175092173:assumed-role/Admin/user10@myorg.local"
"2018-02-28T19:15:41.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","myorg-product-beginnerguide","arn:aws:sts::32152312612621:assumed-role/okta_adm_role/user16@myorg.local"
"2018-02-28T19:07:18.000-0500","WRITE_ACP","http://acs.amazonaws.com/groups/global/AllUsers","integration-partner","arn:aws:sts::2079230175092173:assumed-role/Admin/user10@myorg.local"
"2018-02-28T19:06:31.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","integration-partner","arn:aws:sts::2079230175092173:assumed-role/Admin/user10@myorg.local"
"2018-02-28T08:40:19.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","newuser-sampledata","arn:aws:sts::1626793209:assumed-role/okta_adm_role/user11@myorg.local"
"2018-01-29T20:04:25.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","sampledata-project-user12","arn:aws:sts::87932892319:assumed-role/okta_adm_role/user12@myorg.local"
"2018-01-29T20:04:07.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","sampledata-project-user12","arn:aws:sts::87932892319:assumed-role/okta_adm_role/user12@myorg.local"
"2018-01-29T20:03:55.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","sampledata-project-user12","arn:aws:sts::87932892319:assumed-role/okta_adm_role/user12@myorg.local"
"2018-01-24T13:48:31.000-0500",READ,"http://acs.amazonaws.com/groups/global/AllUsers","sampledata-project-user12","arn:aws:sts::87932892319:assumed-role/okta_adm_role/user12@myorg.local"
"2018-01-23T16:03:18.000-0500","FULL_CONTROL","http://acs.amazonaws.com/groups/global/AllUsers","user13-project-east1","arn:aws:iam::0239057091325:user/user13"
"2018-01-16T19:47:26.000-0500","FULL_CONTROL","http://acs.amazonaws.com/groups/global/AllUsers","sampledata-project-partner","arn:aws:sts::903790259151:assumed-role/okta_adm_role/user14@myorg.local"
"2017-12-05T15:02:57.000-0500","FULL_CONTROL","http://acs.amazonaws.com/groups/global/AllUsers","sampledata-user16-test","arn:aws:iam::0239057091325:user/user13"
"2017-11-21T13:31:55.000-0500","READ_ACP","http://acs.amazonaws.com/groups/global/AllUsers","user13-project-east1","arn:aws:sts::307032097160:assumed-role/okta_adm_role/user15@myorg.local"
"2017-11-15T17:33:09.000-0500","FULL_CONTROL","http://acs.amazonaws.com/groups/global/AllUsers","user13-project-east1","arn:aws:iam::0239057091325:user/user13"
"2017-11-15T16:35:41.000-0500","READ_ACP","http://acs.amazonaws.com/groups/global/AllUsers","user13-project-east1","arn:aws:iam::0239057091325:user/user13"
