"_time",signature,sourcetype,user
"1532299727.000","dlp_rule_16",dlp,chuck
"1532300528.000","dlp_rule_19",dlp,chuck
"1532306996.000","dlp_rule_16",dlp,chuck
"1532308725.000","dlp_rule_12",dlp,chuck
"1532329935.000","dlp_rule_14",dlp,chuck
"1532384156.000","dlp_rule_5",dlp,chuck
"1532384443.000","dlp_rule_4",dlp,chuck
"1532386425.000","dlp_rule_7",dlp,chuck
"1532391420.000","dlp_rule_1",dlp,chuck
"1532396617.000","dlp_rule_2",dlp,chuck
"1532397480.000","dlp_rule_7",dlp,chuck
"1532397567.000","dlp_rule_11",dlp,chuck
"1532397748.000","dlp_rule_15",dlp,chuck
"1532415296.000","dlp_rule_8",dlp,chuck
"1532429552.000","dlp_rule_6",dlp,chuck
"1532434455.000","dlp_rule_12",dlp,chuck
"1532435956.000","dlp_rule_18",dlp,chuck
"1532436089.000","dlp_rule_11",dlp,chuck
"1532436784.000","dlp_rule_3",dlp,chuck
"1532468109.000","dlp_rule_15",dlp,chuck
"1532471144.000","dlp_rule_11",dlp,chuck
"1532472062.000","dlp_rule_5",dlp,chuck
"1532472184.000","dlp_rule_13",dlp,chuck
"1532473329.000","dlp_rule_2",dlp,chuck
"1532474177.000","dlp_rule_11",dlp,chuck
"1532495601.000","dlp_rule_16",dlp,chuck
"1532506595.000","dlp_rule_19",dlp,chuck
"1532515556.000","dlp_rule_15",dlp,chuck
"1532515925.000","dlp_rule_12",dlp,chuck
"1532556610.000","dlp_rule_2",dlp,chuck
"1532560610.000","dlp_rule_12",dlp,chuck
"1532564777.000","dlp_rule_7",dlp,chuck
"1532567461.000","dlp_rule_11",dlp,chuck
"1532567870.000","dlp_rule_19",dlp,chuck
"1532569011.000","dlp_rule_13",dlp,chuck
"1532572007.000","dlp_rule_15",dlp,chuck
"1532573994.000","dlp_rule_18",dlp,chuck
"1532580294.000","dlp_rule_9",dlp,chuck
"1532585193.000","dlp_rule_10",dlp,chuck
"1532590798.000","dlp_rule_4",dlp,chuck
"1532647756.000","dlp_rule_10",dlp,chuck
"1532647837.000","dlp_rule_11",dlp,chuck
"1532648839.000","dlp_rule_14",dlp,chuck
"1532652531.000","dlp_rule_9",dlp,chuck
"1532653662.000","dlp_rule_2",dlp,chuck
"1532654358.000","dlp_rule_13",dlp,chuck
"1532656632.000","dlp_rule_2",dlp,chuck
"1532659774.000","dlp_rule_2",dlp,chuck
"1532661508.000","dlp_rule_17",dlp,chuck
"1532662127.000","dlp_rule_13",dlp,chuck
"1532662129.000","dlp_rule_10",dlp,chuck
"1532856783.000","dlp_rule_15",dlp,chuck
"1532856896.000","dlp_rule_20",dlp,chuck
"1532910878.000","dlp_rule_17",dlp,chuck
"1532913426.000","dlp_rule_5",dlp,chuck
"1532913427.000","dlp_rule_15",dlp,chuck
"1532913540.000","dlp_rule_19",dlp,chuck
"1532913540.000","dlp_rule_1",dlp,chuck
"1532914836.000","dlp_rule_16",dlp,chuck
"1532935451.000","dlp_rule_12",dlp,chuck
"1532935551.000","dlp_rule_18",dlp,chuck
"1532937483.000","dlp_rule_20",dlp,chuck
"1532939052.000","dlp_rule_14",dlp,chuck
"1532998096.000","dlp_rule_1",dlp,chuck
"1532999444.000","dlp_rule_19",dlp,chuck
"1533000145.000","dlp_rule_17",dlp,chuck
"1533006453.000","dlp_rule_19",dlp,chuck
"1533013498.000","dlp_rule_16",dlp,chuck
"1533022848.000","dlp_rule_16",dlp,chuck
"1533023188.000","dlp_rule_9",dlp,chuck
"1533028955.000","dlp_rule_15",dlp,chuck
"1533042039.000","dlp_rule_12",dlp,bob
"1533081573.000","dlp_rule_8",dlp,chuck
"1533081573.000","dlp_rule_8",dlp,chuck
"1533081589.000","dlp_rule_20",dlp,chuck
"1533081590.000","dlp_rule_2",dlp,chuck
"1533106618.000","dlp_rule_8",dlp,chuck
"1533106702.000","dlp_rule_18",dlp,chuck
"1533108774.000","dlp_rule_4",dlp,chuck
"1533108927.000","dlp_rule_10",dlp,chuck
"1533111052.000","dlp_rule_17",dlp,chuck
"1533111343.000","dlp_rule_7",dlp,chuck
"1533121516.000","dlp_rule_11",dlp,alice
"1533121517.000","dlp_rule_15",dlp,alice
"1533121517.000","dlp_rule_20",dlp,alice
"1533121518.000","dlp_rule_13",dlp,alice
"1533121520.000","dlp_rule_12",dlp,alice
"1533121521.000","dlp_rule_2",dlp,alice
"1533121552.000","dlp_rule_7",dlp,alice
"1533121552.000","dlp_rule_17",dlp,alice
"1533121553.000","dlp_rule_10",dlp,alice
"1533121553.000","dlp_rule_4",dlp,alice
"1533121609.000","dlp_rule_5",dlp,alice
"1533121619.000","dlp_rule_15",dlp,alice
"1533123355.000","dlp_rule_8",dlp,alice
"1533123986.000","dlp_rule_10",dlp,alice
"1533123987.000","dlp_rule_16",dlp,alice
"1533123987.000","dlp_rule_8",dlp,alice
"1533123987.000","dlp_rule_6",dlp,alice
"1533123987.000","dlp_rule_3",dlp,alice
"1533123987.000","dlp_rule_16",dlp,alice
"1533124043.000","dlp_rule_8",dlp,alice
"1533124051.000","dlp_rule_15",dlp,alice
"1533124051.000","dlp_rule_4",dlp,alice
"1533124051.000","dlp_rule_2",dlp,alice
"1533124051.000","dlp_rule_11",dlp,alice
"1533124051.000","dlp_rule_19",dlp,alice
"1533124051.000","dlp_rule_9",dlp,alice
"1533124118.000","dlp_rule_13",dlp,alice
"1533124118.000","dlp_rule_7",dlp,alice
"1533124118.000","dlp_rule_13",dlp,alice
"1533124118.000","dlp_rule_15",dlp,alice
"1533124118.000","dlp_rule_9",dlp,alice
"1533124118.000","dlp_rule_5",dlp,alice
"1533124183.000","dlp_rule_11",dlp,alice
"1533124183.000","dlp_rule_20",dlp,alice
