"_time",dest,host,user,Image,EventCode
"2017-05-22T04:47:22.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskdl.exe",1
"2017-05-22T04:47:20.000+0000","bob-PC","bob-PC","bob-PC\bob","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe",1
"2017-05-22T04:47:20.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskse.exe",1
"2017-05-22T04:46:52.000+0000","bob-PC","bob-PC","bob-PC\bob","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe",1
"2017-05-22T04:46:50.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskse.exe",1
"2017-05-22T04:46:50.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskdl.exe",1
"2017-05-22T04:46:20.000+0000","bob-PC","bob-PC","bob-PC\bob","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe",1
"2017-05-22T04:46:20.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskse.exe",1
"2017-05-22T04:46:20.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskdl.exe",1
"2017-05-22T04:45:50.000+0000","bob-PC","bob-PC","bob-PC\bob","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe",1
"2017-05-22T04:45:50.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskse.exe",1
"2017-05-22T04:45:50.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskdl.exe",1
"2017-05-22T04:45:20.000+0000","bob-PC","bob-PC","bob-PC\bob","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe",1
"2017-05-22T04:45:20.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskse.exe",1
"2017-05-22T04:45:19.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskdl.exe",1
"2017-05-22T04:44:50.000+0000","bob-PC","bob-PC","bob-PC\bob","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe",1
"2017-05-22T04:44:50.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskse.exe",1
"2017-05-22T04:44:49.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskdl.exe",1
"2017-05-22T04:44:20.000+0000","bob-PC","bob-PC","bob-PC\bob","C:\ProgramData\wnlvipnvf933\@WanaDecryptor@.exe",1
"2017-05-22T04:44:20.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskse.exe",1
"2017-05-22T04:44:19.000+0000","bob-PC","bob-PC","NT AUTHORITY\SYSTEM","C:\ProgramData\wnlvipnvf933\taskdl.exe",1
