"_time","file_name","size_of_file",user
"1532299727.000","file_27427",74340,chuck
"1532300528.000","file_45666",80160,chuck
"1532306996.000","file_32617",71423,chuck
"1532308725.000","file_34477",48026,chuck
"1532329935.000","file_45416",70131,chuck
"1532384156.000","file_31646",56560,chuck
"1532384443.000","file_25822",93500,chuck
"1532386425.000","file_4701",61795,chuck
"1532391420.000","file_20358",78071,chuck
"1532396617.000","file_24466",62087,chuck
"1532397480.000","file_13867",45916,chuck
"1532397567.000","file_20265",39047,chuck
"1532397748.000","file_13041",98539,chuck
"1532415296.000","file_5689",56058,chuck
"1532429552.000","file_19505",102448,chuck
"1532434455.000","file_46650",40950,chuck
"1532435956.000","file_48355",49698,chuck
"1532436089.000","file_30589",100622,chuck
"1532436784.000","file_16290",31997,chuck
"1532468109.000","file_39050",59424,chuck
"1532471144.000","file_41463",49551,chuck
"1532472062.000","file_32099",94586,chuck
"1532472184.000","file_4232",68839,chuck
"1532473329.000","file_666",92117,chuck
"1532474177.000","file_33795",93022,chuck
"1532495601.000","file_29010",31313,chuck
"1532506595.000","file_30027",61276,chuck
"1532515556.000","file_26821",81026,chuck
"1532515925.000","file_40415",81691,chuck
"1532556610.000","file_3961",54033,chuck
"1532560610.000","file_878",73011,chuck
"1532564777.000","file_42802",84656,chuck
"1532567461.000","file_10026",53017,chuck
"1532567870.000","file_23234",41158,chuck
"1532569011.000","file_36416",93672,chuck
"1532572007.000","file_35843",41678,chuck
"1532573994.000","file_3100",83340,chuck
"1532580294.000","file_3875",55582,chuck
"1532585193.000","file_40557",54771,chuck
"1532590798.000","file_32903",51900,chuck
"1532647756.000","file_48116",83192,chuck
"1532647837.000","file_27889",57910,chuck
"1532648839.000","file_7868",80508,chuck
"1532652531.000","file_31432",101495,chuck
"1532653662.000","file_5882",48867,chuck
"1532654358.000","file_48661",83835,chuck
"1532656632.000","file_45276",67506,chuck
"1532659774.000","file_10356",63176,chuck
"1532661508.000","file_34410",33822,chuck
"1532662127.000","file_20548",51898,chuck
"1532662129.000","file_41672",77948,chuck
"1532856783.000","file_21975",83232,chuck
"1532856896.000","file_6924",48721,chuck
"1532910878.000","file_23980",103109,chuck
"1532913426.000","file_8576",30584,chuck
"1532913427.000","file_13468",86913,chuck
"1532913540.000","file_21140",41151,chuck
"1532913540.000","file_34383",91836,chuck
"1532914836.000","file_2673",31913,chuck
"1532935451.000","file_49822",99580,chuck
"1532935551.000","file_11876",88221,chuck
"1532937483.000","file_33439",91364,chuck
"1532939052.000","file_10447",52643,chuck
"1532998096.000","file_1246",57911,chuck
"1532999444.000","file_37823",62764,chuck
"1533000145.000","file_47351",57391,chuck
"1533006453.000","file_29544",49064,chuck
"1533013498.000","file_37614",79406,chuck
"1533022848.000","file_44734",54867,chuck
"1533023188.000","file_33768",93427,chuck
"1533028955.000","file_30113",77941,chuck
"1533042039.000","file_5406",71680,bob
"1533081573.000","file_37538",40671,chuck
"1533081573.000","file_39312",39754,chuck
"1533081589.000","file_49644",39429,chuck
"1533081590.000","file_44152",71562,chuck
"1533106618.000","file_1970",93270,chuck
"1533106702.000","file_29301",65461,chuck
"1533108774.000","file_12318",86953,chuck
"1533108927.000","file_12631",34206,chuck
"1533111052.000","file_46786",88201,chuck
"1533111343.000","file_8533",88144,chuck
"1533121516.000","file_21074",51287,alice
"1533121517.000","file_3659",33040,alice
"1533121517.000","file_4040",103795,alice
