"_time",bytes,"bytes_in","bytes_out","dest_ip","dest_port",packets,"packets_in","packets_out","src_ip"
"1495511217.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495510317.000",7565,2417,5148,"10.11.168.10",445,27,12,15,"10.84.42.134"
"1495511702.000",16180,9041,7139,"10.11.168.10",445,74,30,44,"10.84.42.134"
"1495511158.000",14888,5015,9873,"10.11.168.10",445,54,24,30,"10.84.42.134"
"1495502216.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495501803.000",13362,5375,7987,"10.11.168.10",445,89,33,56,"10.84.42.134"
"1495510802.000",15827,8899,6928,"10.11.168.10",445,71,29,42,"10.84.42.134"
"1495506716.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495415812.000",7501,2353,5148,"10.11.168.9",445,26,11,15,"10.84.42.134"
"1495414912.000",7501,2353,5148,"10.11.168.9",445,26,11,15,"10.84.42.134"
"1495508439.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495509417.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495504839.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495507617.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495508517.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495501661.000",18583,8977,9606,"10.11.168.180",445,97,52,45,"10.84.42.134"
"1495501656.000",6961,2425,4536,"10.11.168.10",445,30,19,11,"10.84.42.134"
"1495500416.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495509003.000",13362,5375,7987,"10.11.168.10",445,89,33,56,"10.84.42.134"
"1495509002.000",16889,9325,7564,"10.11.168.10",445,80,32,48,"10.84.42.134"
"1495507539.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495505817.000",7565,2353,5212,"10.11.168.10",445,27,11,16,"10.84.42.134"
"1495506639.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495505793.000",3632,1837,1795,"10.11.168.180",445,22,9,13,"10.84.42.134"
