"_time",count,EventCode,Keywords,"Logon_Process","Logon_Type","Logon_Type_Description",RecordNumber,Type,dest,user
"1476350265.000",,4624,"Audit Success",Advapi,2,Interactive,2541080,Information,"host_25","user_55"
"1476350265.000",,4624,"Audit Success",Advapi,2,Interactive,2541078,Information,"host_25","user_55"
"1476390173.000",,4624,"Audit Success",User32,10,RemoteInteractive,1521954,Information,"host_1","user_106"
"1476390820.000",,4624,"Audit Success",Advapi,2,Interactive,893584099,Information,"host_11","user_4"
"1476390836.000",,4624,"Audit Success",User32,10,RemoteInteractive,893585433,Information,"host_11","user_91"
"1476391699.000",,4624,"Audit Success",User32,10,RemoteInteractive,1521971,Information,"host_1","user_53"
"1476393383.000",,4624,"Audit Success",Advapi,2,Interactive,2543844,Information,"host_25","user_135"
"1476393383.000",,4624,"Audit Success",Advapi,2,Interactive,2543842,Information,"host_25","user_135"
"1476397921.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522038,Information,"host_1","user_51"
"1476423851.000",,4624,"Audit Success",Advapi,2,Interactive,2544942,Information,"host_25","user_102"
"1476423851.000",,4624,"Audit Success",Advapi,2,Interactive,2544940,Information,"host_25","user_102"
"1476431960.000",,4624,"Audit Success",Advapi,2,Interactive,148704959,Information,"host_3","user_2"
"1476434853.000",,4624,"Audit Success",Advapi,2,Interactive,2634571606,Information,"host_5","user_3"
"1476438226.000",,4624,"Audit Success",Advapi,2,Interactive,2635143804,Information,"host_5","user_3"
"1476439722.000",,4624,"Audit Success",Advapi,2,Interactive,897921975,Information,"host_11","user_2"
"1476446462.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522245,Information,"host_1","svc_system_monitoring"
"1476451356.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522270,Information,"host_1","user_133"
"1476451712.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522275,Information,"host_1","user_39"
"1476456924.000",,4624,"Audit Success",User32,10,RemoteInteractive,1352389600,Information,"host_14","user_91"
"1476463682.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522335,Information,"host_1","user_52"
"1476464776.000",,4624,"Audit Success",Advapi,2,Interactive,2547083,Information,"host_25","user_14"
"1476464777.000",,4624,"Audit Success",Advapi,2,Interactive,2547085,Information,"host_25","user_14"
"1476464897.000",,4624,"Audit Success",Advapi,2,Interactive,2547104,Information,"host_25","user_15"
"1476464897.000",,4624,"Audit Success",Advapi,2,Interactive,2547102,Information,"host_25","user_15"
"1476473456.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522401,Information,"host_1","user_63"
"1476474158.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522404,Information,"host_1","user_121"
"1476475970.000",,4624,"Audit Success",Advapi,2,Interactive,2547932,Information,"host_25","user_76"
"1476475971.000",,4624,"Audit Success",Advapi,2,Interactive,2547934,Information,"host_25","user_76"
"1476476939.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522430,Information,"host_1","user_51"
"1476481346.000",,4624,"Audit Success",Advapi,2,Interactive,2548289,Information,"host_25","user_89"
"1476481346.000",,4624,"Audit Success",Advapi,2,Interactive,2548287,Information,"host_25","user_89"
"1476487003.000",,4624,"Audit Success",User32,10,RemoteInteractive,1522520,Information,"host_1","user_113"
"1476510609.000",,4624,"Audit Success",Advapi,2,Interactive,2549008,Information,"host_25","user_83"
"1476510609.000",,4624,"Audit Success",Advapi,2,Interactive,2549006,Information,"host_25","user_83"
"1476552967.000",,4624,"Audit Success",Advapi,2,Interactive,2549492,Information,"host_25","user_25"
"1476552968.000",,4624,"Audit Success",Advapi,2,Interactive,2549494,Information,"host_25","user_25"
"1476553531.000",,4624,"Audit Success",Advapi,2,Interactive,2549509,Information,"host_25","user_130"
"1476553531.000",,4624,"Audit Success",Advapi,2,Interactive,2549507,Information,"host_25","user_130"
"1476556504.000",,4624,"Audit Success",Advapi,2,Interactive,2549534,Information,"host_25","user_37"
"1476556505.000",,4624,"Audit Success",Advapi,2,Interactive,2549536,Information,"host_25","user_37"
"1476564182.000",,4624,"Audit Success",Advapi,2,Interactive,2549636,Information,"host_25","user_103"
"1476564183.000",,4624,"Audit Success",Advapi,2,Interactive,2549638,Information,"host_25","user_103"
"1476564344.000",,4624,"Audit Success",Advapi,2,Interactive,2549642,Information,"host_25","user_23"
"1476564345.000",,4624,"Audit Success",Advapi,2,Interactive,2549644,Information,"host_25","user_23"
"1476582329.000",,4624,"Audit Success",Advapi,2,Interactive,2549874,Information,"host_25","user_29"
"1476582329.000",,4624,"Audit Success",Advapi,2,Interactive,2549872,Information,"host_25","user_29"
"1476637434.000",,4624,"Audit Success",Advapi,2,Interactive,2550467,Information,"host_25","user_101"
"1476637434.000",,4624,"Audit Success",Advapi,2,Interactive,2550465,Information,"host_25","user_101"
"1476642566.000",,4624,"Audit Success",Advapi,2,Interactive,2550560,Information,"host_25","user_59"
"1476642566.000",,4624,"Audit Success",Advapi,2,Interactive,2550557,Information,"host_25","user_59"
"1476644297.000",,4624,"Audit Success",Advapi,2,Interactive,2550591,Information,"host_25","user_69"
"1476644297.000",,4624,"Audit Success",Advapi,2,Interactive,2550589,Information,"host_25","user_69"
"1476644966.000",,4624,"Audit Success",Advapi,2,Interactive,2550602,Information,"host_25","user_50"
"1476644967.000",,4624,"Audit Success",Advapi,2,Interactive,2550604,Information,"host_25","user_50"
"1476663378.000",,4624,"Audit Success",Advapi,2,Interactive,911192142,Information,"host_11","user_3"
"1476663380.000",,4624,"Audit Success",User32,10,RemoteInteractive,911192455,Information,"host_11","user_139"
"1476665996.000",,4624,"Audit Success",User32,10,RemoteInteractive,1523091,Information,"host_1","user_34"
"1476666469.000",,4624,"Audit Success",Advapi,2,Interactive,2550991,Information,"host_25","user_46"
"1476666470.000",,4624,"Audit Success",Advapi,2,Interactive,2550993,Information,"host_25","user_46"
"1476666724.000",,4624,"Audit Success",User32,10,RemoteInteractive,1523097,Information,"host_1","user_34"
"1476667464.000",,4624,"Audit Success",Advapi,2,Interactive,2551028,Information,"host_25","user_87"
"1476667465.000",,4624,"Audit Success",Advapi,2,Interactive,2551030,Information,"host_25","user_87"
"1476672362.000",,4624,"Audit Success",User32,10,RemoteInteractive,1523119,Information,"host_1","user_34"
"1476674564.000",,4624,"Audit Success",User32,10,RemoteInteractive,1523130,Information,"host_1","user_34"
"1476680094.000",,4624,"Audit Success",Advapi,2,Interactive,2551353,Information,"host_25","user_118"
"1476680094.000",,4624,"Audit Success",Advapi,2,Interactive,2551351,Information,"host_25","user_118"
"1476680496.000",,4624,"Audit Success",Advapi,2,Interactive,2551372,Information,"host_25","user_132"
"1476680497.000",,4624,"Audit Success",Advapi,2,Interactive,2551374,Information,"host_25","user_132"
"1476700329.000",,4624,"Audit Success",Advapi,2,Interactive,2551983,Information,"host_25","user_73"
"1476700330.000",,4624,"Audit Success",Advapi,2,Interactive,2551985,Information,"host_25","user_73"
"1476702651.000",,4624,"Audit Success",Advapi,2,Interactive,2552055,Information,"host_25","user_93"
"1476702651.000",,4624,"Audit Success",Advapi,2,Interactive,2552053,Information,"host_25","user_93"
"1476704635.000",,4624,"Audit Success",Advapi,2,Interactive,2552110,Information,"host_25","user_108"
"1476704635.000",,4624,"Audit Success",Advapi,2,Interactive,2552108,Information,"host_25","user_108"
"1476704932.000",,4624,"Audit Success",Advapi,2,Interactive,2552123,Information,"host_25","user_75"
"1476704933.000",,4624,"Audit Success",Advapi,2,Interactive,2552125,Information,"host_25","user_75"
"1476708154.000",,4624,"Audit Success",Advapi,2,Interactive,2552308,Information,"host_25","user_64"
"1476708154.000",,4624,"Audit Success",Advapi,2,Interactive,2552306,Information,"host_25","user_64"
"1476709393.000",,4624,"Audit Success",Advapi,2,Interactive,2552408,Information,"host_25","user_79"
"1476709393.000",,4624,"Audit Success",Advapi,2,Interactive,2552406,Information,"host_25","user_79"
"1476712881.000",,4624,"Audit Success",Advapi,2,Interactive,2552662,Information,"host_25","user_136"
"1476712881.000",,4624,"Audit Success",Advapi,2,Interactive,2552660,Information,"host_25","user_136"
"1476713015.000",,4624,"Audit Success",User32,10,RemoteInteractive,1523250,Information,"host_1","user_113"
"1476714250.000",,4624,"Audit Success",Advapi,2,Interactive,2667253180,Information,"host_5","user_3"
