"_time",host,service,"start_mode",status
"1515387854.592","host_6",wuauserv,Manual,Running
"1515388028.813","host_7",wuauserv,Manual,Stopped
"1515388080.540","host_2",wuauserv,Manual,Running
"1515388318.915","host_12",wuauserv,Manual,Stopped
"1515388356.376","host_9",wuauserv,Auto,Running
"1515388463.429","host_13",wuauserv,Manual,Stopped
"1515389335.150","host_8",wuauserv,Auto,Running
"1515389370.360","host_1",wuauserv,Manual,Running
"1515389396.617","host_11",wuauserv,Auto,Running
"1515389600.360","host_3",wuauserv,Manual,Running
"1515389899.915","host_15",wuauserv,Manual,Running
"1515389960.720","host_14",wuauserv,Auto,Running
"1515390701.970","host_4",wuauserv,Auto,Running
"1515390963.954","host_10",wuauserv,Auto,Running
"1515391149.422","host_5",wuauserv,Manual,Stopped
"1515391629.467","host_7",wuauserv,Manual,Stopped
"1515391680.843","host_2",wuauserv,Manual,Running
"1515391782.422","host_6",wuauserv,Manual,Running
"1515391956.583","host_9",wuauserv,Auto,Running
"1515392045.214","host_12",wuauserv,Manual,Stopped
"1515392935.667","host_8",wuauserv,Auto,Running
"1515392970.947","host_1",wuauserv,Manual,Running
"1515393374.551","host_13",wuauserv,Manual,Stopped
"1515393500.546","host_15",wuauserv,Manual,Running
"1515393537.926","host_3",wuauserv,Manual,Running
"1515393561.347","host_14",wuauserv,Auto,Running
"1515394302.452","host_4",wuauserv,Auto,Running
"1515394445.755","host_11",wuauserv,Auto,Running
"1515394730.527","host_10",wuauserv,Auto,Running
"1515394750.471","host_5",wuauserv,Manual,Running
"1515395229.697","host_7",wuauserv,Manual,Stopped
"1515395281.131","host_2",wuauserv,Manual,Running
"1515395556.985","host_9",wuauserv,Auto,Running
"1515395671.730","host_12",wuauserv,Manual,Stopped
"1515395750.802","host_6",wuauserv,Manual,Stopped
"1515396548.993","host_8",wuauserv,Auto,Running
"1515396571.285","host_1",wuauserv,Manual,Running
"1515397100.865","host_15",wuauserv,Manual,Running
"1515397161.729","host_14",wuauserv,Auto,Running
"1515397550.854","host_3",wuauserv,Manual,Stopped
"1515397902.829","host_4",wuauserv,Auto,Running
"1515398072.219","host_11",wuauserv,Auto,Running
"1515398276.906","host_13",wuauserv,Manual,Stopped
"1515398360.334","host_5",wuauserv,Manual,Stopped
"1515398376.830","host_10",wuauserv,Auto,Running
"1515398829.880","host_7",wuauserv,Manual,Stopped
"1515398882.060","host_2",wuauserv,Manual,Running
"1515399170.350","host_9",wuauserv,Auto,Running
"1515399285.349","host_12",wuauserv,Manual,Stopped
"1515399582.285","host_6",wuauserv,Manual,Running
"1515400149.214","host_8",wuauserv,Auto,Running
"1515400171.919","host_1",wuauserv,Manual,Running
"1515400701.153","host_15",wuauserv,Manual,Running
"1515400762.269","host_14",wuauserv,Auto,Running
"1515401503.188","host_4",wuauserv,Auto,Running
"1515401973.321","host_5",wuauserv,Manual,Stopped
"1515402018.790","host_11",wuauserv,Auto,Running
"1515402023.258","host_10",wuauserv,Auto,Running
"1515402245.521","host_13",wuauserv,Manual,Running
"1515402410.270","host_3",wuauserv,Manual,Running
"1515402430.142","host_7",wuauserv,Manual,Stopped
"1515402485.785","host_2",wuauserv,Manual,Running
"1515402770.658","host_9",wuauserv,Auto,Running
"1515402951.504","host_12",wuauserv,Manual,Running
"1515403549.102","host_6",wuauserv,Manual,Stopped
"1515403749.523","host_8",wuauserv,Auto,Running
"1515403773.132","host_1",wuauserv,Manual,Running
"1515404301.331","host_15",wuauserv,Manual,Running
"1515404362.868","host_14",wuauserv,Auto,Running
"1515405103.896","host_4",wuauserv,Auto,Running
"1515405586.635","host_5",wuauserv,Manual,Stopped
