"_time",folder,item,user
"1485764494.000",PROPOSALS,"FILE_442","USER_314"
"1485764554.000",PROPOSALS,"FILE_445","USER_314"
"1485764554.000",PROPOSALS,"FILE_446","USER_314"
"1485765051.000",PROPOSALS,"FILE_443","USER_314"
"1485765698.000",PROPOSALS,"FILE_29","USER_205"
"1485767717.000","FOLDER_4","FILE_703","USER_85"
"1485768893.000",PROPOSALS,"FILE_583","USER_362"
"1485768953.000",PROPOSALS,"FILE_584","USER_362"
"1485769033.000",PROPOSALS,"FILE_579","USER_362"
"1485769363.000",PROPOSALS,"FILE_586","USER_362"
"1485769433.000",PROPOSALS,"FILE_577","USER_362"
"1485769463.000",PROPOSALS,"FILE_578","USER_362"
"1485769493.000",PROPOSALS,"FILE_581","USER_362"
"1485769644.000",PROPOSALS,"FILE_587","USER_362"
"1485769663.000",PROPOSALS,"FILE_336","USER_362"
"1485769664.000",PROPOSALS,"FILE_580","USER_362"
"1485769683.000",PROPOSALS,"FILE_582","USER_362"
"1485770864.000",PROPOSALS,"FILE_25","USER_147"
"1485779553.000","FOLDER_13","FILE_574","USER_185"
"1485785765.000",PROPOSALS,"FILE_85",jsmith
"1485787424.000",PROPOSALS,"FILE_78",jsmith
"1485787425.000",PROPOSALS,"FILE_451","USER_127"
"1485787428.000",PROPOSALS,"FILE_452","USER_127"
"1485787962.000",PROPOSALS,"FILE_98",jsmith
"1485789165.000",PROPOSALS,"FILE_141",jsmith
"1485789171.000",PROPOSALS,"FILE_141",jsmith
"1485789217.000",PROPOSALS,"FILE_141",jsmith
"1485789606.000",PROPOSALS,"FILE_438","USER_197"
"1485789647.000",PROPOSALS,"FILE_639","USER_362"
"1485789677.000",PROPOSALS,"FILE_645","USER_362"
"1485789697.000",PROPOSALS,"FILE_615","USER_362"
"1485789707.000",PROPOSALS,"FILE_655","USER_362"
"1485789767.000",PROPOSALS,"FILE_631","USER_362"
"1485789777.000",PROPOSALS,"FILE_589","USER_362"
"1485789797.000",PROPOSALS,"FILE_629","USER_362"
"1485789819.000",PROPOSALS,"FILE_611","USER_362"
"1485789827.000",PROPOSALS,"FILE_644","USER_362"
"1485789837.000",PROPOSALS,"FILE_597","USER_362"
"1485790508.000",PROPOSALS,"FILE_604","USER_362"
"1485790527.000",PROPOSALS,"FILE_632","USER_362"
"1485790529.000",PROPOSALS,"FILE_608","USER_362"
"1485790547.000",PROPOSALS,"FILE_643","USER_362"
"1485790557.000",PROPOSALS,"FILE_637","USER_362"
"1485790577.000",PROPOSALS,"FILE_654","USER_362"
"1485790587.000",PROPOSALS,"FILE_640","USER_362"
"1485790618.000",PROPOSALS,"FILE_598","USER_362"
"1485790647.000",PROPOSALS,"FILE_647","USER_362"
"1485790678.000",PROPOSALS,"FILE_646","USER_362"
"1485790727.000",PROPOSALS,"FILE_595","USER_362"
"1485790767.000",PROPOSALS,"FILE_609","USER_362"
"1485790787.000",PROPOSALS,"FILE_617","USER_362"
"1485790796.000",PROPOSALS,"FILE_601","USER_362"
"1485790816.000",PROPOSALS,"FILE_653","USER_362"
"1485790818.000",PROPOSALS,"FILE_593","USER_362"
"1485790857.000",PROPOSALS,"FILE_622","USER_362"
"1485790866.000",PROPOSALS,"FILE_606","USER_362"
"1485790887.000",PROPOSALS,"FILE_616","USER_362"
"1485790907.000",PROPOSALS,"FILE_649","USER_362"
"1485790926.000",PROPOSALS,"FILE_656","USER_362"
"1485790938.000",PROPOSALS,"FILE_650","USER_362"
"1485790967.000",PROPOSALS,"FILE_641","USER_362"
"1485791027.000",PROPOSALS,"FILE_636","USER_362"
"1485791047.000",PROPOSALS,"FILE_652","USER_362"
"1485791077.000",PROPOSALS,"FILE_627","USER_362"
"1485791107.000",PROPOSALS,"FILE_612","USER_362"
"1485791148.000",PROPOSALS,"FILE_638","USER_362"
"1485791167.000",PROPOSALS,"FILE_642","USER_362"
"1485791208.000",PROPOSALS,"FILE_619","USER_362"
"1485791397.000",PROPOSALS,"FILE_610","USER_362"
"1485791406.000",PROPOSALS,"FILE_613","USER_362"
"1485791448.000",PROPOSALS,"FILE_623","USER_362"
"1485791449.000",PROPOSALS,"FILE_607","USER_362"
"1485791466.000",PROPOSALS,"FILE_600","USER_362"
"1485791546.000",PROPOSALS,"FILE_620","USER_362"
"1485791597.000",PROPOSALS,"FILE_633","USER_362"
"1485791617.000",PROPOSALS,"FILE_618","USER_362"
"1485791626.000",PROPOSALS,"FILE_635","USER_362"
"1485791669.000",PROPOSALS,"FILE_634","USER_362"
"1485791677.000",PROPOSALS,"FILE_628","USER_362"
"1485791707.000",PROPOSALS,"FILE_621","USER_362"
"1485791727.000",PROPOSALS,"FILE_605","USER_362"
"1485791736.000",PROPOSALS,"FILE_592","USER_362"
"1485791756.000",PROPOSALS,"FILE_630","USER_362"
"1485791767.000","FOLDER_4","FILE_55","USER_67"
"1485791767.000",PROPOSALS,"FILE_602","USER_362"
"1485791768.000",PROPOSALS,"FILE_590","USER_362"
"1485791787.000",PROPOSALS,"FILE_651","USER_362"
"1485791806.000",PROPOSALS,"FILE_626","USER_362"
"1485791807.000",PROPOSALS,"FILE_614","USER_362"
"1485791829.000",PROPOSALS,"FILE_648","USER_362"
"1485791839.000",PROPOSALS,"FILE_596","USER_362"
"1485791840.000",PROPOSALS,"FILE_591","USER_362"
"1485791878.000",PROPOSALS,"FILE_594","USER_362"
"1485791918.000",PROPOSALS,"FILE_624","USER_362"
"1485791927.000",PROPOSALS,"FILE_603","USER_362"
"1485791958.000",PROPOSALS,"FILE_599","USER_362"
"1485791967.000",PROPOSALS,"FILE_625","USER_362"
"1485794176.000",PROPOSALS,"FILE_444","USER_66"
"1485794196.000",PROPOSALS,"FILE_447","USER_66"
"1485794197.000",PROPOSALS,"FILE_448","USER_66"
"1485794825.000",PROPOSALS,"FILE_573","USER_249"
"1485796772.000",PROPOSALS,"FILE_438","USER_197"
"1485797895.000","FOLDER_4","FILE_142","USER_9"
"1485798794.000","FOLDER_13","FILE_182","USER_54"
"1485798794.000","FOLDER_13","FILE_182","USER_148"
"1485800139.000","FOLDER_13","FILE_182","USER_49"
"1485801596.000",PROPOSALS,"FILE_449","USER_177"
"1485802246.000",PROPOSALS,"FILE_438","USER_197"
"1485802458.000","FOLDER_4","FILE_8","USER_341"
"1485802461.000","FOLDER_4","FILE_8","USER_341"
"1485804715.000","FOLDER_4","FILE_684","USER_342"
"1485805983.000","FOLDER_21","FILE_309","USER_96"
"1485805984.000","FOLDER_21","FILE_337","USER_96"
"1485806007.000","FOLDER_21","FILE_346","USER_96"
"1485806008.000","FOLDER_21","FILE_347","USER_96"
"1485806012.000","FOLDER_21","FILE_348","USER_96"
"1485806012.000","FOLDER_21","FILE_349","USER_96"
"1485806381.000","FOLDER_21","FILE_708","USER_96"
"1485806604.000","FOLDER_22","FILE_9","USER_96"
"1485806789.000","FOLDER_19","FILE_134","USER_96"
"1485810293.000","FOLDER_4","FILE_713","USER_324"
"1485812374.000","FOLDER_4","FILE_8","USER_328"
"1485813449.000",PROPOSALS,"FILE_450","USER_112"
"1485813586.000","FOLDER_13","FILE_187","USER_362"
"1485818317.000","FOLDER_8","FILE_137","USER_96"
"1485818317.000","FOLDER_8","FILE_289","USER_96"
"1485818317.000","FOLDER_8","FILE_394","USER_96"
"1485818317.000","FOLDER_8","FILE_428","USER_96"
"1485818317.000","FOLDER_15","FILE_429","USER_96"
"1485818319.000","FOLDER_8","FILE_428","USER_96"
"1485818320.000","FOLDER_10","FILE_71","USER_96"
"1485818320.000","FOLDER_8","FILE_427","USER_96"
"1485818321.000","FOLDER_21","FILE_309","USER_96"
"1485818321.000","FOLDER_21","FILE_337","USER_96"
"1485818321.000","FOLDER_21","FILE_346","USER_96"
"1485818321.000","FOLDER_21","FILE_347","USER_96"
"1485818321.000","FOLDER_8","FILE_428","USER_96"
"1485818322.000","FOLDER_21","FILE_348","USER_96"
"1485818322.000","FOLDER_21","FILE_349","USER_96"
"1485818322.000","FOLDER_8","FILE_428","USER_96"
"1485818322.000","FOLDER_22","FILE_708","USER_96"
"1485818323.000","FOLDER_22","FILE_9","USER_96"
"1485818323.000","FOLDER_8","FILE_394","USER_96"
"1485818324.000","FOLDER_10","FILE_71","USER_96"
"1485818324.000","FOLDER_19","FILE_134","USER_96"
"1485818324.000","FOLDER_8","FILE_428","USER_96"
"1485818326.000","FOLDER_10","FILE_71","USER_96"
"1485818327.000","FOLDER_8","FILE_428","USER_96"
"1485818328.000","FOLDER_10","FILE_71","USER_96"
"1485818329.000","FOLDER_10","FILE_71","USER_96"
"1485818329.000","FOLDER_8","FILE_428","USER_96"
"1485818331.000","FOLDER_8","FILE_394","USER_96"
"1485818331.000","FOLDER_8","FILE_428","USER_96"
"1485818756.000","FOLDER_19","FILE_134","USER_96"
"1485818757.000","FOLDER_19","FILE_134","USER_96"
"1485820575.000","FOLDER_19","FILE_134","USER_96"
"1485820576.000","FOLDER_19","FILE_134","USER_96"
"1485820660.000","FOLDER_13","FILE_165","USER_362"
"1485820815.000","FOLDER_13","FILE_170","USER_362"
"1485822287.000",PROPOSALS,"FILE_44",jsmith
"1485822290.000",PROPOSALS,"FILE_45",jsmith
"1485822297.000",PROPOSALS,"FILE_433",jsmith
"1485822301.000",PROPOSALS,"FILE_432",jsmith
"1485822310.000",PROPOSALS,"FILE_43",jsmith
"1485824068.000","FOLDER_4","FILE_694","USER_308"
"1485825174.000",PROPOSALS,"FILE_585","USER_362"
"1485829823.000","FOLDER_22","FILE_9","USER_96"
"1485829844.000","FOLDER_21","FILE_346","USER_96"
"1485838741.000","FOLDER_4","FILE_142","USER_57"
"1485848637.000",PROPOSALS,"FILE_457","USER_34"
"1485848665.000",PROPOSALS,"FILE_458","USER_34"
"1485848695.000",PROPOSALS,"FILE_459","USER_34"
"1485848718.000",PROPOSALS,"FILE_460","USER_34"
"1485848753.000",PROPOSALS,"FILE_461","USER_34"
"1485852113.000","FOLDER_4","FILE_8","USER_198"
"1485855296.000",PROPOSALS,"FILE_583","USER_362"
"1485855356.000",PROPOSALS,"FILE_584","USER_362"
"1485855436.000",PROPOSALS,"FILE_579","USER_362"
"1485855766.000",PROPOSALS,"FILE_586","USER_362"
"1485855836.000",PROPOSALS,"FILE_577","USER_362"
"1485855866.000",PROPOSALS,"FILE_578","USER_362"
"1485855896.000",PROPOSALS,"FILE_581","USER_362"
"1485856047.000",PROPOSALS,"FILE_587","USER_362"
"1485856066.000",PROPOSALS,"FILE_336","USER_362"
"1485856076.000",PROPOSALS,"FILE_580","USER_362"
"1485856086.000",PROPOSALS,"FILE_582","USER_362"
"1485871848.000",PROPOSALS,"FILE_438","USER_197"
"1485876050.000",PROPOSALS,"FILE_639","USER_362"
"1485876079.000",PROPOSALS,"FILE_645","USER_362"
"1485876100.000",PROPOSALS,"FILE_615","USER_362"
"1485876110.000",PROPOSALS,"FILE_655","USER_362"
"1485876170.000",PROPOSALS,"FILE_631","USER_362"
"1485876200.000",PROPOSALS,"FILE_629","USER_362"
"1485876230.000",PROPOSALS,"FILE_611","USER_362"
"1485876231.000",PROPOSALS,"FILE_644","USER_362"
"1485876239.000",PROPOSALS,"FILE_597","USER_362"
"1485876920.000",PROPOSALS,"FILE_604","USER_362"
"1485876930.000",PROPOSALS,"FILE_632","USER_362"
"1485876940.000",PROPOSALS,"FILE_608","USER_362"
"1485876951.000",PROPOSALS,"FILE_643","USER_362"
"1485876960.000",PROPOSALS,"FILE_637","USER_362"
"1485876981.000",PROPOSALS,"FILE_654","USER_362"
"1485876990.000",PROPOSALS,"FILE_640","USER_362"
"1485877030.000",PROPOSALS,"FILE_598","USER_362"
"1485877050.000",PROPOSALS,"FILE_647","USER_362"
"1485877052.000",PROPOSALS,"FILE_405","USER_93"
"1485877062.000",PROPOSALS,"FILE_208",jsmith
"1485877090.000",PROPOSALS,"FILE_141",jsmith
"1485877091.000",PROPOSALS,"FILE_646","USER_362"
"1485877129.000",PROPOSALS,"FILE_595","USER_362"
"1485877169.000",PROPOSALS,"FILE_609","USER_362"
"1485877189.000",PROPOSALS,"FILE_617","USER_362"
"1485877200.000",PROPOSALS,"FILE_601","USER_362"
"1485877221.000",PROPOSALS,"FILE_653","USER_362"
"1485877229.000",PROPOSALS,"FILE_593","USER_362"
"1485877266.000",PROPOSALS,"FILE_622","USER_362"
"1485877269.000",PROPOSALS,"FILE_606","USER_362"
"1485877299.000",PROPOSALS,"FILE_616","USER_362"
"1485877310.000","FOLDER_4","FILE_8","USER_226"
"1485877310.000",PROPOSALS,"FILE_649","USER_362"
"1485877329.000","FOLDER_4","FILE_702","USER_206"
"1485877329.000",PROPOSALS,"FILE_656","USER_362"
"1485877352.000",PROPOSALS,"FILE_650","USER_362"
"1485877370.000",PROPOSALS,"FILE_641","USER_362"
"1485877440.000",PROPOSALS,"FILE_636","USER_362"
"1485877449.000",PROPOSALS,"FILE_652","USER_362"
"1485877479.000",PROPOSALS,"FILE_627","USER_362"
"1485877519.000",PROPOSALS,"FILE_612","USER_362"
"1485877559.000",PROPOSALS,"FILE_638","USER_362"
"1485877569.000",PROPOSALS,"FILE_642","USER_362"
"1485877619.000",PROPOSALS,"FILE_619","USER_362"
"1485877799.000",PROPOSALS,"FILE_610","USER_362"
"1485877809.000",PROPOSALS,"FILE_613","USER_362"
"1485877859.000",PROPOSALS,"FILE_623","USER_362"
"1485877860.000",PROPOSALS,"FILE_607","USER_362"
"1485877870.000",PROPOSALS,"FILE_600","USER_362"
"1485877949.000",PROPOSALS,"FILE_620","USER_362"
"1485878001.000",PROPOSALS,"FILE_633","USER_362"
"1485878019.000",PROPOSALS,"FILE_618","USER_362"
"1485878029.000",PROPOSALS,"FILE_635","USER_362"
"1485878079.000",PROPOSALS,"FILE_628","USER_362"
"1485878083.000",PROPOSALS,"FILE_634","USER_362"
"1485878119.000",PROPOSALS,"FILE_621","USER_362"
"1485878130.000",PROPOSALS,"FILE_605","USER_362"
"1485878139.000",PROPOSALS,"FILE_592","USER_362"
"1485878159.000",PROPOSALS,"FILE_630","USER_362"
"1485878169.000",PROPOSALS,"FILE_602","USER_362"
