"Event_Description","Event_Source","Host_Name","_time",severity,tag,url
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1516913287.000",informational,,
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180125002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913403.000",informational,,"liveupdate.symantecliveupdate.com"
"A LiveUpdate session ran successfully.  6 update(s) were available. 6 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1516913403.000",informational,error,
"An update for Power Eraser Definitions from LiveUpdate was successfully installed.  The new sequence number is 171207040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913404.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Extended File Attributes and Signatures from LiveUpdate was successfully installed.  The new sequence number is 180123004.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913405.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180125007.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913405.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for SONAR Definitions from LiveUpdate was successfully installed.  The new sequence number is 180122003.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913429.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180125038.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1516913429.000",informational,,"liveupdate.symantecliveupdate.com"
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1516913702.000",informational,,
"Symantec Endpoint Protection -- Engine version: 14.0.3876  Windows Version info:  Operating System: Windows 7 (6.1.7601 Service Pack 1)  Network  info:  No.0  'Local Area Connection'  0a-9c-0e-a2-9c-48  'Citrix PV Ethernet Adapter #0' 10.0.2.90",Smc,"host_1","1516937053.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1516958628.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1516980228.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517001828.000",informational,,
"An update for Intrusion Prevention Signatures from LiveUpdate was successfully installed.  The new sequence number is 180125040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023461.000",informational,,"liveupdate.symantecliveupdate.com"
"A LiveUpdate session ran successfully.  5 update(s) were available. 5 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1517023461.000",informational,error,
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180126009.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023462.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Extended File Attributes and Signatures from LiveUpdate was successfully installed.  The new sequence number is 180125016.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023462.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180126002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023462.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180126052.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517023464.000",informational,,"liveupdate.symantecliveupdate.com"
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517045064.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517066664.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517088265.000",informational,,
"A LiveUpdate session ran successfully.  3 update(s) were available. 3 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1517109880.000",informational,error,
"An update for Intrusion Prevention Signatures from LiveUpdate was successfully installed.  The new sequence number is 180127040.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517109880.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180127001.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517109881.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180127039.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517109883.000",informational,,"liveupdate.symantecliveupdate.com"
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517131483.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517153083.000",informational,,
"Virus and Spyware Definitions were updated recently, so the scheduled LiveUpdate was skipped.","LiveUpdate Manager","host_1","1517174683.000",informational,,
"An update for Symantec Whitelist from LiveUpdate was successfully installed.  The new sequence number is 180128002.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517196296.000",informational,,"liveupdate.symantecliveupdate.com"
"A LiveUpdate session ran successfully.  3 update(s) were available. 3 update(s) installed successfully. 0 update(s) failed to install.","LiveUpdate Manager","host_1","1517196296.000",informational,error,
"An update for Virus and Spyware Definitions SDS Win64 (Reduced) from LiveUpdate was successfully installed.  The new sequence number is 180128007.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517196296.000",informational,,"liveupdate.symantecliveupdate.com"
"An update for Revocation Data from LiveUpdate was successfully installed.  The new sequence number is 180128036.    Content was downloaded from HTTP://liveupdate.symantecliveupdate.com/ (80).","LiveUpdate Manager","host_1","1517196300.000",informational,,"liveupdate.symantecliveupdate.com"
