EventCode,"_time",sourcetype,tag,user
1102,"1527679122.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",alice
4634,"1527678667.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4624,"1527678549.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527678549.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4624,"1527678549.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4624,"1527678348.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4634,"1527676987.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4634,"1527676702.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527676701.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527676701.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527676521.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527676521.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527676521.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4648,"1527676147.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4648,"1527675553.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4624,"1527675309.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4624,"1527675308.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527673100.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527673098.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527672918.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527672918.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527672821.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527672788.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527672678.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527672506.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4624,"1527671811.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4768,"1527671811.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527671117.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527671029.000","WinEventLog:Security","authentication;os;security;windows",alice
4648,"1527671029.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527670687.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4624,"1527669485.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527669305.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527669305.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527669305.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
