"_time",bytes,"bytes_in","bytes_out",sourcetype,"src_ip",uri
"1472062245.741",2309,1953,356,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/CodeSignPCA.crl"
"1472062240.905",4737,4259,478,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/CodeSignPCA.crl"
"1472060326.827",3133,2653,480,"stream:http","192.168.250.100","http://www.microsoft.com/pki/CRL/products/Microsoft%20Windows%20Hardware%20Compatibility%20PCA(1).crl"
"1472060320.572",4577,4384,193,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/WinPCA.crl"
"1472060315.892",3217,2924,293,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/CodeSignPCA2.crl"
"1472060311.212",2302,1931,371,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/CodeSigPCA.crl"
"1472060306.548",3305,3142,163,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/MicCodSigPCA_08-31-2010.crl"
"1472060301.868",3800,3544,256,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/microsoftrootcert.crl"
"1472058913.144",3518,3057,461,"stream:http","192.168.250.100","http://www.bing.com/favicon.ico"
"1472058912.916",3172,2785,387,"stream:http","192.168.250.100","http://www.bing.com/favicon.ico"
"1472057814.920",2783,2496,287,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkId=57426&Ext=pdf"
"1472057814.842",2985,2801,184,"stream:http","192.168.250.100","http://www.bing.com/favicon.ico"
"1472057626.361",2483,2317,166,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88341"
"1472057626.027",2735,2475,260,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88340"
"1472057625.699",1753,1267,486,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88339"
"1472057622.407",2970,2520,450,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88338"
"1472057617.307",2236,1963,273,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88341"
"1472057611.941",2137,1825,312,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88340"
"1472057607.152",1495,1076,419,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88339"
"1472057601.345",3919,3702,217,"stream:http","192.168.250.100","http://go.microsoft.com/fwlink/?LinkID=88338"
"1472057425.185",4153,3847,306,"stream:http","192.168.250.100","http://ipinfo.io/json"
"1472057294.620",3410,2945,465,"stream:http","192.168.250.100","http://92.222.104.182/mhtr.jpg"
"1472057293.492",1696,1324,372,"stream:http","192.168.250.100","http://solidaritedeproximite.org/mhtr.jpg"
"1472056490.516",3527,3052,475,"stream:http","192.168.250.100","http://www.microsoft.com/pki/CRL/products/Microsoft%20Windows%20Hardware%20Compatibility%20PCA(1).crl"
"1472056485.883",2482,2014,468,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/WinPCA.crl"
"1472056481.158",2321,2096,225,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/CodeSignPCA2.crl"
"1472056476.492",1938,1518,420,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/CodeSigPCA.crl"
"1472056471.874",3460,2984,476,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/MicCodSigPCA_08-31-2010.crl"
"1472056467.210",1953,1573,380,"stream:http","192.168.250.100","http://crl.microsoft.com/pki/crl/products/microsoftrootcert.crl"
"1472055422.738",4297,3844,453,"stream:http","192.168.250.100","http://dl2.acronis.com/u/liveupdate/{E129C72A-9734-4128-B342-D6DA3BAE805D}/6571/hotfixes.xml"
"1472055422.552",26577029,26575681,1348,"stream:http","192.168.250.100","http://download.acronis.com/liveupdate/{E129C72A-9734-4128-B342-D6DA3BAE805D}/6571/hotfixes.xml"
"1472055422.405",1789,1402,387,"stream:http","192.168.250.100","http://dl2.acronis.com/u/liveupdate/{E129C72A-9734-4128-B342-D6DA3BAE805D}/updates.xml"
"1472055422.267",2385627,2383068,2559,"stream:http","192.168.250.100","http://download.acronis.com/liveupdate/{E129C72A-9734-4128-B342-D6DA3BAE805D}/updates.xml"
"1470867873.756",3558,3125,433,"stream:http","192.168.250.100","http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBRm%2FrYSaqNr0YBIv29H4pMHhv2XmQQUl0gD6xUIa7myWCPMlC7xxmXSZI4CEAG17QZGokw6owQOVbDgK88%3D"
"1470867873.657",1718,1392,326,"stream:http","192.168.250.100","http://ocsp.digicert.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBTfqhLjKLEJQZPin0KCzkdAQpVYowQUsT7DaQP4v0cB1JgmGggC72NkK8MCEALE0eWKSmgMVo2jBH5%2BTV8%3D"
"1470867873.385",4442,3943,499,"stream:http","192.168.250.100","http://sv.symcd.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQe6LNDJdqx%2BJOp7hVgTeaGFJ%2FCQgQUljtT8Hkzl699g%2B8uK8zKt4YecmYCEHpo6ZtcfX8Uuhnz1Km5LCc%3D"
"1470867873.208",1486,1138,348,"stream:http","192.168.250.100","http://sv.symcd.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBQe6LNDJdqx%2BJOp7hVgTeaGFJ%2FCQgQUljtT8Hkzl699g%2B8uK8zKt4YecmYCEA68GTXVKUpZS08ycHsKCrk%3D"
"1470867873.009",4121,3892,229,"stream:http","192.168.250.100","http://s2.symcb.com/MFEwTzBNMEswSTAJBgUrDgMCGgUABBS56bKHAoUD%2BOyl%2B0LhPg9JxyQm4gQUf9Nlp8Ld7LvwMAnzQzn6Aq8zMTMCED141%2Fl2SWCyYX308B7Khio%3D"
"1470867289.779",116456991,3135,116453856,"stream:http","192.168.250.100","http://ssw.live.com/UploadData.aspx"
"1470867287.166",1863,1691,172,"stream:http","192.168.250.100","http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/e7f33d93-0a20-4092-8167-81bc7e0bd7c3?P1=1470870954&P2=301&P3=2&P4=1LzCZzMYl6vz9%2bZxjUxVt0KFWRbJJ24U6lvNlHt4EDs%3d"
"1470867286.240",2955,2634,321,"stream:http","192.168.250.100","http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/e7f33d93-0a20-4092-8167-81bc7e0bd7c3?P1=1470870954&P2=301&P3=2&P4=1LzCZzMYl6vz9%2bZxjUxVt0KFWRbJJ24U6lvNlHt4EDs%3d"
"1470867285.850",3392,3200,192,"stream:http","192.168.250.100","http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/e7f33d93-0a20-4092-8167-81bc7e0bd7c3?P1=1470870954&P2=301&P3=2&P4=1LzCZzMYl6vz9%2bZxjUxVt0KFWRbJJ24U6lvNlHt4EDs%3d"
"1470867285.592",1713,1370,343,"stream:http","192.168.250.100","http://tlu.dl.delivery.mp.microsoft.com/filestreamingservice/files/e7f33d93-0a20-4092-8167-81bc7e0bd7c3?P1=1470870954&P2=301&P3=2&P4=1LzCZzMYl6vz9%2bZxjUxVt0KFWRbJJ24U6lvNlHt4EDs%3d"
