Image,ParentImage,ParentProcessId,ProcessId,"_time",host,sha1
"C:\Windows\System32\taskhost.exe","C:\Windows\System32\services.exe",592,2384,"1472063246.000",we8105desk,61478D71931FB3E304BC341236AB0DB1D6C26E09
"C:\Windows\SysWOW64\dllhost.exe","C:\Windows\System32\svchost.exe",708,5012,"1472063244.000",we8105desk,ACE762C51DB1908C858C898D7E0F9B36F788D2D9
"C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe",512,2688,"1472063117.000",we1149srv,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
"C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe",512,4012,"1472063115.000",we1149srv,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
"C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe",708,4868,"1472062866.000",we8105desk,9F5A4796B58D8B104A1C0F5A63DAF0032B947966
"C:\Windows\System32\w32tm.exe","C:\Windows\System32\sdiagnhost.exe",5024,5056,"1472062655.000",we8105desk,624BFB1402A3078074F6B3F747DB534F300E89B4
"C:\Windows\System32\PING.EXE","C:\Windows\System32\sdiagnhost.exe",5024,4340,"1472062653.000",we8105desk,41C4E1E9ABE08B218F5EA60D8AE41A5F523E7534
"C:\Windows\System32\w32tm.exe","C:\Windows\System32\sdiagnhost.exe",5024,4944,"1472062653.000",we8105desk,624BFB1402A3078074F6B3F747DB534F300E89B4
"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",4404,1208,"1472062651.000",we8105desk,46F879FD7B8919ED3B383376AE4408F7AC9CF9A4
"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe","C:\Windows\System32\sdiagnhost.exe",5024,4404,"1472062651.000",we8105desk,1E2B20BBAE4A22338D9C0AE42971DCE3B7C80C89
"C:\Windows\System32\wbem\WmiPrvSE.exe","C:\Windows\System32\svchost.exe",708,2676,"1472062651.000",we8105desk,9F5A4796B58D8B104A1C0F5A63DAF0032B947966
"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",4956,2736,"1472062651.000",we8105desk,46F879FD7B8919ED3B383376AE4408F7AC9CF9A4
"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe","C:\Windows\System32\sdiagnhost.exe",5024,4956,"1472062651.000",we8105desk,1E2B20BBAE4A22338D9C0AE42971DCE3B7C80C89
"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",808,3776,"1472062651.000",we8105desk,46F879FD7B8919ED3B383376AE4408F7AC9CF9A4
"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe","C:\Windows\System32\sdiagnhost.exe",5024,808,"1472062651.000",we8105desk,1E2B20BBAE4A22338D9C0AE42971DCE3B7C80C89
