"_time",app,bytes,"bytes_in","bytes_out","src_ip","dest_ip","dest_port",packets,"packets_in","packets_out",duration,first
"2016-11-02T12:45:13.000-0700",ping,204,102,102,"10.83.36.238","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:43:52.000-0700",ping,200,98,102,"10.83.36.222","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:43:48.000-0700",ping,200,98,102,"10.83.160.63","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:43:41.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:43:39.000-0700",ping,200,98,102,"10.83.160.116","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:38:14.000-0700",ping,204,102,102,"10.83.36.150","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:38:15.000-0700",ping,204,102,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T12:38:09.000-0700",ping,200,98,102,"10.83.160.128","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:38:07.000-0700",ping,200,98,102,"10.83.160.194","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:38:13.000-0700",ping,204,102,102,"10.83.36.161","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:38:05.000-0700",ping,200,98,102,"10.83.32.121","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:38:02.000-0700",ping,200,98,102,"10.83.32.94","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:38:07.000-0700",ping,204,102,102,"10.83.160.243","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:37:59.000-0700",ping,200,98,102,"10.83.160.105","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:38:04.000-0700",ping,204,102,102,"10.83.36.201","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:38:01.000-0700",ping,204,102,102,"10.83.36.186","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:37:59.000-0700",ping,204,102,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:37:56.000-0700",ping,200,98,102,"10.83.36.230","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:37:53.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:37:51.000-0700",ping,200,98,102,"10.83.32.44","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:37:47.000-0700",ping,200,98,102,"10.83.36.86","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:37:42.000-0700",ping,204,102,102,"10.83.36.222","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:35:57.000-0700",ping,204,102,102,"10.83.36.193","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:35:59.000-0700",ping,228,114,114,"10.11.168.28","136.86.125.116",0,2,1,1,0,136
"2016-11-02T12:35:51.000-0700",ping,204,102,102,"10.83.32.44","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:35:53.000-0700",ping,204,102,102,"10.83.160.143","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:35:45.000-0700",ping,204,102,102,"10.83.160.77","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:35:06.000-0700",ping,200,98,102,"10.83.32.25","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:35:05.000-0700",ping,200,98,102,"10.83.32.125","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:35:04.000-0700",ping,200,98,102,"10.83.160.15","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:29:59.000-0700",ping,228,114,114,"10.11.168.28","136.86.125.116",0,2,1,1,0,136
"2016-11-02T12:29:56.000-0700",ping,64,0,64,"10.118.84.152","31.125.89.158",0,1,0,1,0,31
"2016-11-02T12:29:43.000-0700",ping,200,98,102,"10.83.32.121","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:29:45.000-0700",ping,204,102,102,"10.83.160.86","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:29:42.000-0700",ping,204,102,102,"10.83.36.215","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:27:45.000-0700",ping,204,102,102,"10.83.160.221","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:27:44.000-0700",ping,204,102,102,"10.83.32.125","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:24:33.000-0700",ping,200,98,102,"10.83.160.243","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:24:21.000-0700",ping,200,98,102,"10.83.160.173","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:24:25.000-0700",ping,204,102,102,"10.83.160.47","233.145.98.105",0,2,1,1,0,233
"2016-11-02T12:24:22.000-0700",ping,204,102,102,"10.83.160.105","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:20:21.000-0700",ping,200,98,102,"10.83.160.221","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:20:18.000-0700",ping,200,98,102,"10.83.32.74","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:20:18.000-0700",ping,200,98,102,"10.83.32.2","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:20:18.000-0700",ping,204,102,102,"10.83.32.125","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:20:15.000-0700",ping,200,98,102,"10.83.160.202","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:20:12.000-0700",ping,200,98,102,"10.83.36.193","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:20:13.000-0700",ping,204,102,102,"10.83.36.93","160.51.175.200",0,2,1,1,0,160
