"_time",host,Image,ProcessId,ParentImage,ParentProcessId,sha1
"2016-08-24T18:27:26.000+0000",we8105desk,"C:\Windows\System32\taskhost.exe",2384,"C:\Windows\System32\services.exe",592,61478D71931FB3E304BC341236AB0DB1D6C26E09
"2016-08-24T18:27:24.000+0000",we8105desk,"C:\Windows\SysWOW64\dllhost.exe",5012,"C:\Windows\System32\svchost.exe",708,ACE762C51DB1908C858C898D7E0F9B36F788D2D9
"2016-08-24T18:25:17.000+0000",we1149srv,"C:\Windows\System32\wbem\WmiPrvSE.exe",2688,"C:\Windows\System32\svchost.exe",512,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
"2016-08-24T18:25:15.000+0000",we1149srv,"C:\Windows\System32\wbem\WmiPrvSE.exe",4012,"C:\Windows\System32\svchost.exe",512,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
"2016-08-24T18:21:06.000+0000",we8105desk,"C:\Windows\System32\wbem\WmiPrvSE.exe",4868,"C:\Windows\System32\svchost.exe",708,9F5A4796B58D8B104A1C0F5A63DAF0032B947966
"2016-08-24T18:17:35.000+0000",we8105desk,"C:\Windows\System32\w32tm.exe",5056,"C:\Windows\System32\sdiagnhost.exe",5024,624BFB1402A3078074F6B3F747DB534F300E89B4
"2016-08-24T18:17:33.000+0000",we8105desk,"C:\Windows\System32\PING.EXE",4340,"C:\Windows\System32\sdiagnhost.exe",5024,41C4E1E9ABE08B218F5EA60D8AE41A5F523E7534
"2016-08-24T18:17:33.000+0000",we8105desk,"C:\Windows\System32\w32tm.exe",4944,"C:\Windows\System32\sdiagnhost.exe",5024,624BFB1402A3078074F6B3F747DB534F300E89B4
"2016-08-24T18:17:31.000+0000",we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe",1208,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",4404,46F879FD7B8919ED3B383376AE4408F7AC9CF9A4
"2016-08-24T18:17:31.000+0000",we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",4404,"C:\Windows\System32\sdiagnhost.exe",5024,1E2B20BBAE4A22338D9C0AE42971DCE3B7C80C89
"2016-08-24T18:17:31.000+0000",we8105desk,"C:\Windows\System32\wbem\WmiPrvSE.exe",2676,"C:\Windows\System32\svchost.exe",708,9F5A4796B58D8B104A1C0F5A63DAF0032B947966
"2016-08-24T18:17:31.000+0000",we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe",2736,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",4956,46F879FD7B8919ED3B383376AE4408F7AC9CF9A4
"2016-08-24T18:17:31.000+0000",we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",4956,"C:\Windows\System32\sdiagnhost.exe",5024,1E2B20BBAE4A22338D9C0AE42971DCE3B7C80C89
"2016-08-24T18:17:31.000+0000",we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\cvtres.exe",3776,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",808,46F879FD7B8919ED3B383376AE4408F7AC9CF9A4
"2016-08-24T18:17:31.000+0000",we8105desk,"C:\Windows\Microsoft.NET\Framework64\v2.0.50727\csc.exe",808,"C:\Windows\System32\sdiagnhost.exe",5024,1E2B20BBAE4A22338D9C0AE42971DCE3B7C80C89
"2016-08-24T18:17:29.000+0000",we8105desk,"C:\Windows\System32\conhost.exe",4316,"C:\Windows\System32\csrss.exe",544,680DEC0F8907F4B8911FBE2AA5F2FD25425BE0B0
"2016-08-24T18:17:29.000+0000",we8105desk,"C:\Windows\System32\sdiagnhost.exe",5024,"C:\Windows\System32\svchost.exe",708,12683B361013E4758B489DAC923BC7D4EC275CC8
"2016-08-24T18:17:29.000+0000",we8105desk,"C:\Windows\System32\svchost.exe",3620,"C:\Windows\System32\services.exe",592,619652B42AFE5FB0E3719D7AEDA7A5494AB193E8
"2016-08-24T18:17:29.000+0000",we8105desk,"C:\Windows\System32\taskhost.exe",4940,"C:\Windows\System32\services.exe",592,61478D71931FB3E304BC341236AB0DB1D6C26E09
"2016-08-24T18:17:29.000+0000",we8105desk,"C:\Windows\System32\VSSVC.exe",4884,"C:\Windows\System32\services.exe",592,1D6F5A5DE7154B75144C6A033C36FD86FF2BBE9B
"2016-08-24T18:17:29.000+0000",we8105desk,"C:\Windows\System32\SearchFilterHost.exe",3516,"C:\Windows\System32\SearchIndexer.exe",3280,904A3B130E3DB7CEA97F31CC40D64D9026FF6E41
"2016-08-24T18:17:29.000+0000",we8105desk,"C:\Windows\System32\SearchProtocolHost.exe",4708,"C:\Windows\System32\SearchIndexer.exe",3280,A8DCF7D63A8BB5ABEF8787775957A5BB6C0F3F77
"2016-08-24T18:17:28.000+0000",we8105desk,"C:\Windows\System32\conhost.exe",2732,"C:\Windows\System32\csrss.exe",440,680DEC0F8907F4B8911FBE2AA5F2FD25425BE0B0
"2016-08-24T18:17:28.000+0000",we8105desk,"C:\Windows\System32\mcbuilder.exe",1940,"C:\Windows\System32\lpremove.exe",3684,E95EDE19617155E39115D4457E37ADACA1AEE75B
"2016-08-24T18:17:28.000+0000",we8105desk,"C:\Windows\System32\conhost.exe",3136,"C:\Windows\System32\csrss.exe",440,680DEC0F8907F4B8911FBE2AA5F2FD25425BE0B0
"2016-08-24T18:17:28.000+0000",we8105desk,"C:\Windows\System32\rundll32.exe",1876,"C:\Windows\System32\services.exe",592,963B55ACC8C566876364716D5AAFA353995812A8
"2016-08-24T18:17:28.000+0000",we8105desk,"C:\Windows\System32\rundll32.exe",5072,"C:\Windows\System32\services.exe",592,963B55ACC8C566876364716D5AAFA353995812A8
"2016-08-24T18:17:28.000+0000",we8105desk,"C:\Windows\System32\lpremove.exe",3684,"C:\Windows\System32\services.exe",592,6BBA8EB7F665954DCCE33E0C0E4810B130E621F6
"2016-08-24T18:16:49.000+0000",we1149srv,"C:\Windows\System32\conhost.exe",1780,"C:\Windows\System32\sc.exe",2056,2C6B753628A3AA138AE52357F76AA4D5617D890E
"2016-08-24T18:16:49.000+0000",we1149srv,"C:\Windows\System32\sc.exe",2056,"C:\Windows\System32\svchost.exe",724,DBBA63CB28FC7F4E145E1DB05BBA9D7503FCA139
"2016-08-24T18:15:17.000+0000",we1149srv,"C:\Windows\System32\wbem\WmiPrvSE.exe",1976,"C:\Windows\System32\svchost.exe",512,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
"2016-08-24T18:15:15.000+0000",we1149srv,"C:\Windows\System32\wbem\WmiPrvSE.exe",976,"C:\Windows\System32\svchost.exe",512,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
"2016-08-24T18:10:47.000+0000",we8105desk,"C:\Windows\System32\SearchFilterHost.exe",2228,"C:\Windows\System32\SearchIndexer.exe",3280,904A3B130E3DB7CEA97F31CC40D64D9026FF6E41
"2016-08-24T18:10:47.000+0000",we8105desk,"C:\Windows\System32\SearchProtocolHost.exe",820,"C:\Windows\System32\SearchIndexer.exe",3280,A8DCF7D63A8BB5ABEF8787775957A5BB6C0F3F77
"2016-08-24T18:10:29.000+0000",we8105desk,"C:\Windows\System32\svchost.exe",4600,"C:\Windows\System32\services.exe",592,619652B42AFE5FB0E3719D7AEDA7A5494AB193E8
"2016-08-24T18:10:28.000+0000",we8105desk,"C:\Windows\System32\conhost.exe",2508,"C:\Windows\System32\csrss.exe",440,680DEC0F8907F4B8911FBE2AA5F2FD25425BE0B0
"2016-08-24T18:10:28.000+0000",we8105desk,"C:\Windows\System32\conhost.exe",4668,"C:\Windows\System32\csrss.exe",440,680DEC0F8907F4B8911FBE2AA5F2FD25425BE0B0
"2016-08-24T18:10:28.000+0000",we8105desk,"C:\Windows\System32\taskhost.exe",4780,"C:\Windows\System32\services.exe",592,61478D71931FB3E304BC341236AB0DB1D6C26E09
"2016-08-24T18:10:28.000+0000",we8105desk,"C:\Windows\System32\Defrag.exe",748,"C:\Windows\System32\services.exe",592,8DBF4ECAE1BBAD74C91FA37603353ECFDC47425E
"2016-08-24T18:10:28.000+0000",we8105desk,"C:\Windows\System32\aitagent.exe",4688,"C:\Windows\System32\services.exe",592,394F401FDD0B47AEE24B928785BE2C8F3A38EDBF
"2016-08-24T18:10:28.000+0000",we8105desk,"C:\Windows\System32\rundll32.exe",4728,"C:\Windows\System32\services.exe",592,963B55ACC8C566876364716D5AAFA353995812A8
"2016-08-24T18:07:08.000+0000",we8105desk,"C:\Windows\System32\taskhost.exe",3152,"C:\Windows\System32\services.exe",592,61478D71931FB3E304BC341236AB0DB1D6C26E09
"2016-08-24T18:06:06.000+0000",we8105desk,"C:\Windows\System32\wbem\WmiPrvSE.exe",1368,"C:\Windows\System32\svchost.exe",708,9F5A4796B58D8B104A1C0F5A63DAF0032B947966
"2016-08-24T18:05:17.000+0000",we1149srv,"C:\Windows\System32\wbem\WmiPrvSE.exe",3500,"C:\Windows\System32\svchost.exe",512,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
"2016-08-24T18:05:15.000+0000",we1149srv,"C:\Windows\System32\wbem\WmiPrvSE.exe",2924,"C:\Windows\System32\svchost.exe",512,5A4C0E82FF95C9FB762D46A696EF9F1B68001C21
