"File_Printed","Page_Count",User,"_time","anonymized_Printer"
"document_1",1,chuck,"1471232247.000","anon_Printer_9"
"document_2",1,chuck,"1471232659.000","anon_Printer_9"
"document_3",8,alice,"1471233873.000","anon_Printer_9"
"document_4",8,alice,"1471233873.000","anon_Printer_9"
"document_5",6,chuck,"1471248642.000","anon_Printer_9"
"document_6",2,chuck,"1471250544.000","anon_Printer_9"
"document_7",2,chuck,"1471250697.000","anon_Printer_9"
"document_8",1,chuck,"1471319244.000","anon_Printer_9"
"document_9",1,chuck,"1471319253.000","anon_Printer_9"
"document_10",1,chuck,"1471495658.000","anon_Printer_9"
"document_11",1,alice,"1471501956.000","anon_Printer_9"
"document_12",4,alice,"1471501975.000","anon_Printer_9"
"document_13",4,alice,"1471501975.000","anon_Printer_9"
"document_14",2,alice,"1471502394.000","anon_Printer_9"
"document_15",2,alice,"1471502394.000","anon_Printer_9"
"document_16",4,chuck,"1471512257.000","anon_Printer_9"
"document_17",4,chuck,"1471512267.000","anon_Printer_9"
"document_18",2,alice,"1471512842.000","anon_Printer_9"
"document_19",2,alice,"1471512842.000","anon_Printer_9"
"document_20",2,alice,"1471513025.000","anon_Printer_9"
"document_21",2,alice,"1471513025.000","anon_Printer_9"
"document_22",1,alice,"1471513104.000","anon_Printer_9"
"document_23",1,alice,"1471513473.000","anon_Printer_9"
"document_24",1,alice,"1471585829.000","anon_Printer_9"
"document_25",15,chuck,"1471587762.000","anon_Printer_9"
"document_26",5,alice,"1471588595.000","anon_Printer_9"
"document_27",4,alice,"1471588595.000","anon_Printer_9"
"document_28",8,alice,"1471589036.000","anon_Printer_9"
"document_29",8,alice,"1471589036.000","anon_Printer_9"
"document_30",4,chuck,"1471589721.000","anon_Printer_9"
"document_31",2,alice,"1471839484.000","anon_Printer_9"
"document_32",2,alice,"1471839484.000","anon_Printer_9"
"document_33",16,alice,"1471839571.000","anon_Printer_9"
"document_34",16,alice,"1471839571.000","anon_Printer_9"
"document_18",6,alice,"1471839689.000","anon_Printer_9"
"document_36",7,alice,"1471839689.000","anon_Printer_9"
"document_37",1,alice,"1471839933.000","anon_Printer_9"
"document_38",1,chuck,"1471840556.000","anon_Printer_9"
"document_39",1,alice,"1471841391.000","anon_Printer_9"
"document_40",2,alice,"1471841421.000","anon_Printer_9"
"document_41",3,alice,"1471841421.000","anon_Printer_9"
"document_42",21,chuck,"1471848312.000","anon_Printer_9"
"document_43",21,chuck,"1471848323.000","anon_Printer_9"
"document_44",6,chuck,"1471850997.000","anon_Printer_9"
"document_45",17,alice,"1471854832.000","anon_Printer_9"
"document_46",16,alice,"1471854832.000","anon_Printer_9"
"document_47",2,alice,"1471855025.000","anon_Printer_9"
"document_48",2,alice,"1471855025.000","anon_Printer_9"
"document_49",2,alice,"1471856600.000","anon_Printer_9"
"document_50",2,alice,"1471856600.000","anon_Printer_9"
"document_51",16,alice,"1471936510.000","anon_Printer_9"
"document_52",16,alice,"1471936510.000","anon_Printer_9"
"document_53",1,alice,"1471936680.000","anon_Printer_9"
"document_54",2,alice,"1471936722.000","anon_Printer_9"
"document_55",2,alice,"1471936722.000","anon_Printer_9"
"document_56",2,alice,"1471937012.000","anon_Printer_9"
"document_57",2,alice,"1471937012.000","anon_Printer_9"
"document_58",2,chuck,"1471937185.000","anon_Printer_9"
"document_59",1,alice,"1472014061.000","anon_Printer_9"
"document_60",1,alice,"1472014071.000","anon_Printer_9"
"document_61",1,alice,"1472014082.000","anon_Printer_9"
"document_62",1,alice,"1472014096.000","anon_Printer_9"
"document_63",1,alice,"1472014108.000","anon_Printer_9"
"document_64",1,alice,"1472014118.000","anon_Printer_9"
"document_65",4,alice,"1472015494.000","anon_Printer_9"
"document_66",4,alice,"1472015494.000","anon_Printer_9"
"document_67",4,alice,"1472015614.000","anon_Printer_9"
"document_68",4,alice,"1472015614.000","anon_Printer_9"
"document_69",4,alice,"1472015752.000","anon_Printer_9"
"document_70",4,alice,"1472015752.000","anon_Printer_9"
"document_71",1,alice,"1472015802.000","anon_Printer_9"
"document_72",1,alice,"1472015818.000","anon_Printer_9"
"document_73",2,alice,"1472015828.000","anon_Printer_9"
"document_74",3,alice,"1472015828.000","anon_Printer_9"
"document_75",4,alice,"1472016011.000","anon_Printer_9"
"document_76",4,alice,"1472016011.000","anon_Printer_9"
"document_77",4,alice,"1472016115.000","anon_Printer_9"
"document_78",4,alice,"1472016115.000","anon_Printer_9"
"document_79",4,alice,"1472016125.000","anon_Printer_9"
"document_80",4,alice,"1472016125.000","anon_Printer_9"
"document_81",1,alice,"1472016917.000","anon_Printer_9"
"document_82",1,alice,"1472017823.000","anon_Printer_9"
"document_83",5,alice,"1472022886.000","anon_Printer_9"
"document_84",4,alice,"1472022886.000","anon_Printer_9"
"document_85",1,alice,"1472022903.000","anon_Printer_9"
"document_86",5,alice,"1472023312.000","anon_Printer_9"
"document_87",4,alice,"1472023312.000","anon_Printer_9"
"document_88",3,alice,"1472025088.000","anon_Printer_9"
"document_89",2,alice,"1472025088.000","anon_Printer_9"
"document_90",1,alice,"1472031519.000","anon_Printer_9"
"document_91",2,alice,"1472033905.000","anon_Printer_9"
"document_92",2,alice,"1472033905.000","anon_Printer_9"
"document_93",2,alice,"1472034930.000","anon_Printer_9"
"document_94",2,alice,"1472034930.000","anon_Printer_9"
"document_95",1,alice,"1472095105.000","anon_Printer_9"
"document_96",2,alice,"1472096392.000","anon_Printer_9"
"document_97",2,alice,"1472096392.000","anon_Printer_9"
"document_98",4,alice,"1472109423.000","anon_Printer_9"
"document_99",5,alice,"1472109423.000","anon_Printer_9"
"document_100",5,alice,"1472113459.000","anon_Printer_9"
"document_101",4,alice,"1472113459.000","anon_Printer_9"
"document_102",2,alice,"1472113506.000","anon_Printer_9"
"document_103",3,alice,"1472113506.000","anon_Printer_9"
"document_104",2,alice,"1472113516.000","anon_Printer_9"
"document_105",2,alice,"1472113516.000","anon_Printer_9"
"document_106",2,alice,"1472113560.000","anon_Printer_9"
"document_107",2,alice,"1472113560.000","anon_Printer_9"
"document_108",2,alice,"1472117094.000","anon_Printer_9"
"document_109",2,alice,"1472117094.000","anon_Printer_9"
"document_110",2,alice,"1472118229.000","anon_Printer_9"
"document_111",2,alice,"1472118229.000","anon_Printer_9"
"document_112",2,alice,"1472118460.000","anon_Printer_9"
"document_113",2,alice,"1472118460.000","anon_Printer_9"
"document_4",21,chuck,"1472180379.000","anon_Printer_9"
"document_115",4,chuck,"1472180389.000","anon_Printer_9"
"document_116",2,chuck,"1472189522.000","anon_Printer_9"
"document_117",2,alice,"1472435274.000","anon_Printer_9"
"document_59",2,alice,"1472435274.000","anon_Printer_9"
"document_119",7,chuck,"1472448266.000","anon_Printer_9"
"document_120",1,chuck,"1472454139.000","anon_Printer_9"
"document_121",26,alice,"1472459226.000","anon_Printer_9"
"document_4",26,alice,"1472459226.000","anon_Printer_9"
"document_123",28,alice,"1472459474.000","anon_Printer_9"
"document_124",29,alice,"1472459474.000","anon_Printer_9"
"document_125",29,alice,"1472459515.000","anon_Printer_9"
"document_126",28,alice,"1472459515.000","anon_Printer_9"
"document_127",6,alice,"1472460643.000","anon_Printer_9"
"document_128",6,alice,"1472460643.000","anon_Printer_9"
"document_129",11,alice,"1472460655.000","anon_Printer_9"
"document_130",10,alice,"1472460655.000","anon_Printer_9"
"document_131",22,alice,"1472463308.000","anon_Printer_9"
"document_132",22,alice,"1472463308.000","anon_Printer_9"
"document_133",2,alice,"1472463317.000","anon_Printer_9"
"document_134",2,alice,"1472463317.000","anon_Printer_9"
"document_135",2,alice,"1472463327.000","anon_Printer_9"
"document_136",2,alice,"1472463327.000","anon_Printer_9"
"document_137",3,chuck,"1472474932.000","anon_Printer_9"
"document_138",4,alice,"1472521261.000","anon_Printer_9"
"document_139",4,alice,"1472521261.000","anon_Printer_9"
"document_140",16,chuck,"1472548544.000","anon_Printer_9"
"document_141",10,alice,"1472621884.000","anon_Printer_9"
"document_142",10,alice,"1472621884.000","anon_Printer_9"
"document_143",2,alice,"1472621891.000","anon_Printer_9"
"document_144",2,alice,"1472621891.000","anon_Printer_9"
"document_145",4,alice,"1472621901.000","anon_Printer_9"
"document_4",4,alice,"1472621901.000","anon_Printer_9"
"document_147",12,alice,"1472621924.000","anon_Printer_9"
"document_148",12,alice,"1472621924.000","anon_Printer_9"
"document_149",1,chuck,"1472629321.000","anon_Printer_9"
"document_150",18,chuck,"1472703791.000","anon_Printer_9"
"document_151",2,chuck,"1472703800.000","anon_Printer_9"
"document_152",17,chuck,"1472704759.000","anon_Printer_9"
"document_153",3,chuck,"1472706915.000","anon_Printer_9"
"document_154",3,chuck,"1472707225.000","anon_Printer_9"
"document_155",1,chuck,"1472707389.000","anon_Printer_9"
"document_156",12,alice,"1472709130.000","anon_Printer_9"
"document_157",12,alice,"1472709130.000","anon_Printer_9"
"document_79",2,alice,"1472714101.000","anon_Printer_9"
"document_159",2,alice,"1472714101.000","anon_Printer_9"
"document_160",1,alice,"1472714140.000","anon_Printer_9"
