EventCode,EventType,Message,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype
20001,4,"Driver Management concluded the process to install driver kdnic.inf_amd64_ea6e04e0dfe580a1\kdnic.inf for Device Instance ID ROOT\KDNIC\0000 with the following status: 0x0.",Info,4226,"1458590054.000","anon_ComputerName_13","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\TEREDO_TUNNEL_DEVICE with the following status: 0x0.",Info,4343,"1458590112.000","anon_ComputerName_9","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_0 with the following status: 0x0.",Info,4340,"1458590112.000","anon_ComputerName_9","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_1 with the following status: 0x0.",Info,4385,"1458596139.000","anon_ComputerName_9","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\vmci.inf_amd64_neutral_faff95b55e0fdc1f\vmci.inf for Device Instance ID ROOT\VMWVMCIHOSTDEV\0000 with the following status: 0x0.",Info,39802,"1458944487.000","anon_ComputerName_6","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\vmci.inf_amd64_neutral_faff95b55e0fdc1f\vmci.inf for Device Instance ID PCI\VEN_15AD&DEV_0740&SUBSYS_074015AD&REV_10\3&2B8E0B4B&0&3F with the following status: 0x0.",Info,39799,"1458944487.000","anon_ComputerName_6","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\vmxnet3ndis6.inf_amd64_neutral_06f9d7f40b2ce86c\vmxnet3ndis6.inf for Device Instance ID PCI\VEN_15AD&DEV_07B0&SUBSYS_07B015AD&REV_01\FF565000482CAEFE00 with the following status: 0x0.",Info,39811,"1458944492.000","anon_ComputerName_6","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\vm3d.inf_amd64_neutral_ba63fe4978c9d598\vm3d.inf for Device Instance ID PCI\VEN_15AD&DEV_0405&SUBSYS_040515AD&REV_00\3&2B8E0B4B&0&78 with the following status: 0x0.",Info,39815,"1458944500.000","anon_ComputerName_6","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver kdnic.inf_amd64_ea6e04e0dfe580a1\kdnic.inf for Device Instance ID ROOT\KDNIC\0000 with the following status: 0x0.",Info,4587,"1468273697.000","anon_ComputerName_12","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_0 with the following status: 0x0.",Info,4709,"1468273738.000","anon_ComputerName_8","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\TEREDO_TUNNEL_DEVICE with the following status: 0x0.",Info,4752,"1468279890.000","anon_ComputerName_8","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\TEREDO_TUNNEL_DEVICE with the following status: 0x0.",Info,192363,"1468550286.000","anon_ComputerName_7","WinEventLog:System","WinEventLog:System"
